Aaron Carter vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-30,-65,-65,-41,-30,-33,13020
1,Ivysaur,-15,-52,-51,-26,-15,-18,6755
2,Venusaur,5,-32,-31,-6,5,2,2075
3,Venusaur (Mega Venusaur),5,-14,9,16,25,2,1187
4,Charmander,-36,-62,-71,-46,-45,-13,14491
5,Charmeleon,-17,-50,-56,-26,-30,2,7505
6,Charizard,3,-30,-36,3,-10,22,2798
7,Charizard (Mega Charizard X),3,16,-3,24,-10,22,1434
8,Charizard (Mega Charizard Y),3,-10,-36,53,20,22,5098
9,Squirtle,-31,-66,-49,-56,-31,-35,13040
10,Wartortle,-16,-51,-34,-41,-15,-20,6319
11,Blastoise,4,-31,-14,-21,10,0,1714
12,Blastoise (Mega Blastoise),4,-11,6,29,20,0,1414
13,Caterpie,-30,-84,-79,-86,-75,-33,28307
14,Metapod,-25,-94,-59,-81,-70,-48,26707
15,Butterfree,-15,-69,-64,-16,-15,-8,9627
16,Weedle,-35,-79,-84,-86,-75,-28,28327
17,Kakuna,-30,-89,-64,-81,-70,-43,26227
18,Beedrill,-10,-24,-74,-61,-15,-3,10107
19,Beedrill (Mega Beedrill),-10,36,-74,-91,-15,67,19867
20,Pidgey,-35,-69,-74,-71,-60,-22,20587
21,Pidgeotto,-12,-54,-59,-56,-45,-7,11751
22,Pidgeot,8,-34,-39,-36,-25,23,5191
23,Pidgeot (Mega Pidgeot),8,-34,-34,29,-15,43,5291
24,Rattata,-45,-58,-79,-81,-60,-6,21827
25,Rattata (Alolan Rattata),-45,-58,-79,-81,-60,-6,21827
26,Raticate,-20,-33,-54,-56,-25,19,8527
27,Raticate (Alolan Raticate),0,-43,-44,-66,-15,-1,8367
28,Spearow,-35,-54,-84,-75,-64,-8,20982
29,Fearow,-10,-24,-49,-45,-34,22,6742
30,Ekans,-40,-54,-70,-66,-41,-23,15982
31,Arbok,-15,-19,-45,-41,-16,2,4552
32,Pikachu,-40,-59,-74,-56,-45,12,15862
33,Pikachu (Partner Pikachu),-30,-34,-64,-31,-35,42,10102
34,Raichu,-15,-24,-59,-16,-15,32,5787
35,Raichu (Alolan Raichu),-15,-29,-64,-11,-10,32,6407
36,Sandshrew,-25,-39,-29,-86,-65,-38,16052
37,Sandshrew (Alolan Sandshrew),-25,-39,-24,-96,-60,-38,16982
38,Sandslash,0,-14,-4,-61,-40,-13,5702
39,Sandslash (Alolan Sandslash),0,-14,6,-81,-30,-13,7862
40,Nidoran♀,-20,-67,-62,-66,-55,-37,17483
41,Nidorina,-5,-52,-47,-51,-40,-22,9623
42,Nidoqueen,15,-22,-27,-31,-10,-2,2503
43,Nidoran♂,-29,-57,-74,-66,-55,-28,17731
44,Nidorino,-14,-42,-57,-51,-40,-13,9579
45,Nidoking,6,-12,-37,-21,-20,7,2439
46,Clefairy,-5,-69,-66,-46,-30,-43,14007
47,Clefable,20,-44,-41,-11,-5,-18,4487
48,Vulpix,-37,-73,-74,-56,-30,-13,16379
49,Vulpix (Alolan Vulpix),-37,-73,-74,-56,-30,-13,16379
50,Ninetales,-2,-38,-39,-25,5,22,4103
51,Ninetales (Alolan Ninetales),-2,-47,-39,-25,5,31,5345
52,Jigglypuff,40,-69,-94,-61,-70,-58,27182
53,Wigglytuff,65,-44,-69,-21,-45,-33,14477
54,Zubat,-35,-69,-79,-76,-55,-23,21557
55,Golbat,0,-34,-44,-41,-20,12,5317
56,Oddish,-30,-64,-59,-31,-30,-48,12642
57,Gloom,-15,-49,-44,-21,-20,-38,6847
58,Vileplume,0,-34,-29,4,-5,-28,2822
59,Paras,-40,-44,-59,-61,-40,-53,15147
60,Parasect,-15,-19,-34,-46,-15,-48,6387
61,Venonat,-15,-59,-64,-66,-40,-33,14847
62,Venomoth,-5,-49,-54,-16,-20,12,6142
63,Diglett,-65,-59,-89,-71,-50,17,23457
64,Diglett (Alolan Diglett),-65,-59,-84,-71,-50,12,22447
65,Dugtrio,-40,-14,-64,-56,-25,42,11417
66,Dugtrio (Alolan Dugtrio),-40,-14,-54,-56,-25,32,9497
67,Meowth,-35,-69,-79,-66,-55,12,19752
68,Meowth (Alolan Meowth),-35,-79,-79,-56,-55,12,20012
69,Meowth (Galarian Meowth),-25,-49,-59,-66,-55,-38,15332
70,Persian,-10,-44,-54,-41,-30,37,8902
71,Persian (Alolan Persian),-10,-54,-54,-31,-30,37,9162
72,Psyduck,-25,-62,-66,-41,-45,-23,13060
73,Golduck,5,-32,-36,-11,-15,7,2740
74,Mankey,-35,-34,-79,-71,-50,-8,16227
75,Primeape,-10,-9,-54,-46,-25,17,6127
76,Growlithe,-20,-44,-69,-36,-45,-18,10742
77,Growlithe (Hisuian Growlithe),-15,-39,-69,-41,-45,-23,10742
78,Arcanine,15,-4,-34,-6,-15,17,1947
79,Arcanine (Hisuian Arcanine),20,1,-34,-11,-15,12,2047
80,Poliwag,-35,-64,-74,-66,-55,12,18322
81,Poliwhirl,-10,-49,-49,-56,-45,12,10207
82,Poliwrath,15,-19,-19,-36,-5,-8,2332
83,Abra,-50,-94,-99,-1,-40,12,22882
84,Kadabra,-35,-79,-84,14,-25,27,16072
85,Alakazam,-20,-64,-69,29,0,42,11862
86,Alakazam (Mega Alakazam),-20,-64,-49,69,10,72,16942
87,Machop,-5,-34,-64,-71,-60,-43,15767
88,Machoke,5,-14,-44,-56,-35,-33,7607
89,Machamp,15,16,-34,-41,-10,-23,3947
