Alex LastName vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-13,-49,-48,2,-14,-55,8099
1,Ivysaur,2,-36,-34,17,1,-40,4346
2,Venusaur,22,-16,-14,37,21,-20,3146
3,Venusaur (Mega Venusaur),22,2,26,59,41,-20,6726
4,Charmander,-19,-46,-54,-3,-29,-35,7468
5,Charmeleon,0,-34,-39,17,-14,-20,3562
6,Charizard,20,-14,-19,46,6,0,3109
7,Charizard (Mega Charizard X),20,32,14,67,6,0,6145
8,Charizard (Mega Charizard Y),20,6,-19,96,36,0,11309
9,Squirtle,-14,-50,-32,-13,-15,-57,7363
10,Wartortle,1,-35,-17,2,1,-42,3284
11,Blastoise,21,-15,3,22,26,-22,2319
12,Blastoise (Mega Blastoise),21,5,23,72,36,-22,7959
13,Caterpie,-13,-68,-62,-43,-59,-55,16992
14,Metapod,-8,-78,-42,-38,-54,-70,17172
15,Butterfree,2,-53,-47,27,1,-30,6652
16,Weedle,-18,-63,-67,-43,-59,-50,16612
17,Kakuna,-13,-73,-47,-38,-54,-65,16292
18,Beedrill,7,-8,-57,-18,1,-25,4312
19,Beedrill (Mega Beedrill),7,52,-57,-48,1,45,10332
20,Pidgey,-18,-53,-57,-28,-44,-44,11038
21,Pidgeotto,5,-38,-42,-13,-29,-29,5084
22,Pidgeot,25,-18,-22,7,-9,1,1564
23,Pidgeot (Mega Pidgeot),25,-18,-17,72,1,21,6864
24,Rattata,-28,-42,-62,-38,-44,-28,10556
25,Rattata (Alolan Rattata),-28,-42,-62,-38,-44,-28,10556
26,Raticate,-3,-17,-37,-13,-9,-3,1926
27,Raticate (Alolan Raticate),17,-27,-27,-23,1,-23,2806
28,Spearow,-18,-38,-67,-32,-48,-30,10485
29,Fearow,7,-8,-32,-2,-18,0,1465
30,Ekans,-23,-38,-53,-23,-25,-45,7961
31,Arbok,2,-3,-28,2,0,-20,1201
32,Pikachu,-23,-43,-57,-13,-29,-10,6737
33,Pikachu (Partner Pikachu),-13,-18,-47,12,-19,20,3607
34,Raichu,2,-8,-42,27,1,10,2662
35,Raichu (Alolan Raichu),2,-13,-47,32,6,10,3542
36,Sandshrew,-8,-23,-12,-43,-49,-60,8587
37,Sandshrew (Alolan Sandshrew),-8,-23,-7,-53,-44,-60,8987
38,Sandslash,17,2,13,-18,-24,-35,2587
39,Sandslash (Alolan Sandslash),17,2,23,-38,-14,-35,3687
40,Nidoran♀,-3,-51,-45,-23,-39,-59,10166
41,Nidorina,12,-36,-30,-8,-24,-44,4916
42,Nidoqueen,32,-6,-10,12,6,-24,1916
43,Nidoran♂,-12,-41,-57,-23,-39,-50,9624
44,Nidorino,3,-26,-40,-8,-24,-35,4150
45,Nidoking,23,4,-20,22,-4,-15,1670
46,Clefairy,12,-53,-49,-3,-14,-65,9784
47,Clefable,37,-28,-24,32,11,-40,5474
48,Vulpix,-20,-57,-57,-13,-14,-35,8488
49,Vulpix (Alolan Vulpix),-20,-57,-57,-13,-14,-35,8488
50,Ninetales,15,-22,-22,18,21,0,1958
51,Ninetales (Alolan Ninetales),15,-31,-22,18,21,9,2516
52,Jigglypuff,57,-53,-77,-18,-54,-80,21627
53,Wigglytuff,82,-28,-52,22,-29,-55,14562
54,Zubat,-18,-53,-62,-33,-39,-45,11612
55,Golbat,17,-18,-27,2,-4,-10,1462
56,Oddish,-13,-48,-42,12,-14,-70,9477
57,Gloom,2,-33,-27,22,-4,-60,5922
58,Vileplume,17,-18,-12,47,11,-50,5587
59,Paras,-23,-28,-42,-18,-24,-75,9602
60,Parasect,2,-3,-17,-3,1,-70,5212
61,Venonat,2,-43,-47,-23,-24,-55,8192
62,Venomoth,12,-33,-37,27,-4,-10,3447
63,Diglett,-48,-43,-72,-28,-34,-5,11302
64,Diglett (Alolan Diglett),-48,-43,-67,-28,-34,-10,10682
65,Dugtrio,-23,2,-47,-13,-9,20,3392
66,Dugtrio (Alolan Dugtrio),-23,2,-37,-13,-9,10,2252
67,Meowth,-18,-53,-62,-23,-39,-10,9127
68,Meowth (Alolan Meowth),-18,-63,-62,-13,-39,-10,9927
69,Meowth (Galarian Meowth),-8,-33,-42,-23,-39,-60,8567
70,Persian,7,-28,-37,2,-14,15,2627
71,Persian (Alolan Persian),7,-38,-37,12,-14,15,3427
72,Psyduck,-8,-46,-49,2,-29,-45,7451
73,Golduck,22,-16,-19,32,1,-15,2351
74,Mankey,-18,-18,-62,-28,-34,-30,7332
75,Primeape,7,7,-37,-3,-9,-5,1582
76,Growlithe,-3,-28,-52,7,-29,-40,5987
77,Growlithe (Hisuian Growlithe),2,-23,-52,2,-29,-45,6107
78,Arcanine,32,12,-17,37,1,-5,2852
79,Arcanine (Hisuian Arcanine),37,17,-17,32,1,-10,3072
80,Poliwag,-18,-48,-57,-23,-39,-10,8027
81,Poliwhirl,7,-33,-32,-13,-29,-10,3272
82,Poliwrath,32,-3,-2,7,11,-30,2107
83,Abra,-33,-78,-82,42,-24,-10,16337
84,Kadabra,-18,-63,-67,57,-9,5,12137
85,Alakazam,-3,-48,-52,72,16,20,10857
86,Alakazam (Mega Alakazam),-3,-48,-32,112,26,50,19057
87,Machop,12,-18,-47,-28,-44,-65,9622
88,Machoke,22,2,-27,-13,-19,-55,4772
89,Machamp,32,32,-17,2,6,-45,4402
90,Bellsprout,-8,-23,-62,7,-49,-60,10487
91,Weepinbell,7,-8,-47,22,-34,-45,5987
92,Victreebel,22,7,-32,37,-9,-30,3907
93,Tentacool,-18,-58,-62,-13,21,-30,9042
94,Tentacruel,22,-28,-32,17,41,0,4262
95,Geodude,-18,-18,3,-33,-49,-80,10547
96,Geodude (Alolan Geodude),-18,-18,3,-33,-49,-80,10547
97,Graveler,-3,-3,18,-18,-34,-65,6047
98,Graveler (Alolan Graveler),-3,-3,18,-18,-34,-65,6047
99,Golem,22,22,33,-8,-14,-55,5342
100,Golem (Alolan Golem),22,22,33,-8,-14,-55,5342
101,Ponyta,-8,-13,-42,2,-14,-10,2297
102,Ponyta (Galarian Ponyta),-8,-13,-42,2,-14,-10,2297
