Alexis Alms vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-43,-39,-11,5,-17,-46,5921
1,Ivysaur,-28,-26,3,20,-2,-31,2834
2,Venusaur,-8,-6,23,40,18,-11,2674
3,Venusaur (Mega Venusaur),-8,12,63,62,38,-11,9586
4,Charmander,-49,-36,-17,0,-32,-26,5686
5,Charmeleon,-30,-24,-2,20,-17,-11,2290
6,Charizard,-10,-4,18,49,3,9,2931
7,Charizard (Mega Charizard X),-10,42,51,70,3,9,9455
8,Charizard (Mega Charizard Y),-10,16,18,99,33,9,11651
9,Squirtle,-44,-40,5,-10,-18,-48,6289
10,Wartortle,-29,-25,20,5,-2,-33,2984
11,Blastoise,-9,-5,40,25,23,-13,3029
12,Blastoise (Mega Blastoise),-9,15,60,75,33,-13,10789
13,Caterpie,-43,-58,-25,-40,-62,-46,13398
14,Metapod,-38,-68,-5,-35,-57,-61,14288
15,Butterfree,-28,-43,-10,30,-2,-21,4078
16,Weedle,-48,-53,-30,-40,-62,-41,13138
17,Kakuna,-43,-63,-10,-35,-57,-56,13528
18,Beedrill,-23,2,-20,-15,-2,-16,1418
19,Beedrill (Mega Beedrill),-23,62,-20,-45,-2,54,9718
20,Pidgey,-48,-43,-20,-25,-47,-35,8612
21,Pidgeotto,-25,-28,-5,-10,-32,-20,2958
22,Pidgeot,-5,-8,15,10,-12,10,658
23,Pidgeot (Mega Pidgeot),-5,-8,20,75,-2,30,7018
24,Rattata,-58,-32,-25,-35,-47,-19,8808
25,Rattata (Alolan Rattata),-58,-32,-25,-35,-47,-19,8808
26,Raticate,-33,-7,0,-10,-12,6,1418
27,Raticate (Alolan Raticate),-13,-17,10,-20,-2,-14,1158
28,Spearow,-48,-28,-30,-29,-51,-21,7871
29,Fearow,-23,2,5,1,-21,9,1081
30,Ekans,-53,-28,-16,-20,-28,-36,6329
31,Arbok,-28,7,9,5,-3,-11,1069
32,Pikachu,-53,-33,-20,-10,-32,-1,5423
33,Pikachu (Partner Pikachu),-43,-8,-10,15,-22,29,3563
34,Raichu,-28,2,-5,30,-2,19,2078
35,Raichu (Alolan Raichu),-28,-3,-10,35,3,19,2488
36,Sandshrew,-38,-13,25,-40,-52,-51,9143
37,Sandshrew (Alolan Sandshrew),-38,-13,30,-50,-47,-51,9823
38,Sandslash,-13,12,50,-15,-27,-26,4443
39,Sandslash (Alolan Sandslash),-13,12,60,-35,-17,-26,6103
40,Nidoran♀,-33,-41,-8,-20,-42,-50,7498
41,Nidorina,-18,-26,7,-5,-27,-35,3028
42,Nidoqueen,2,4,27,15,3,-15,1208
43,Nidoran♂,-42,-31,-20,-20,-42,-41,6970
44,Nidorino,-27,-16,-3,-5,-27,-26,2424
45,Nidoking,-7,14,17,25,-7,-6,1244
46,Clefairy,-18,-43,-12,0,-17,-56,5742
47,Clefable,7,-18,13,35,8,-31,2792
48,Vulpix,-50,-47,-20,-10,-17,-26,6174
49,Vulpix (Alolan Vulpix),-50,-47,-20,-10,-17,-26,6174
50,Ninetales,-15,-12,15,21,18,9,1440
51,Ninetales (Alolan Ninetales),-15,-21,15,21,18,18,1980
52,Jigglypuff,27,-43,-40,-15,-57,-71,12693
53,Wigglytuff,52,-18,-15,25,-32,-46,7018
54,Zubat,-48,-43,-25,-30,-42,-36,8738
55,Golbat,-13,-8,10,5,-7,-1,408
56,Oddish,-43,-38,-5,15,-17,-61,7553
57,Gloom,-28,-23,10,25,-7,-51,4688
58,Vileplume,-13,-8,25,50,8,-41,5103
59,Paras,-53,-18,-5,-15,-27,-66,8468
60,Parasect,-28,7,20,0,-2,-61,4958
61,Venonat,-28,-33,-10,-20,-27,-46,5218
62,Venomoth,-18,-23,0,30,-7,-1,1803
63,Diglett,-78,-33,-35,-25,-37,4,10408
64,Diglett (Alolan Diglett),-78,-33,-30,-25,-37,-1,10068
65,Dugtrio,-53,12,-10,-10,-12,29,4138
66,Dugtrio (Alolan Dugtrio),-53,12,0,-10,-12,19,3558
67,Meowth,-48,-43,-25,-20,-42,-1,6943
68,Meowth (Alolan Meowth),-48,-53,-25,-10,-42,-1,7603
69,Meowth (Galarian Meowth),-38,-23,-5,-20,-42,-51,6763
70,Persian,-23,-18,0,5,-17,24,1743
71,Persian (Alolan Persian),-23,-28,0,15,-17,24,2403
72,Psyduck,-38,-36,-12,5,-32,-36,5229
73,Golduck,-8,-6,18,35,-2,-6,1689
74,Mankey,-48,-8,-25,-25,-37,-21,5428
75,Primeape,-23,17,0,0,-12,4,978
76,Growlithe,-33,-18,-15,10,-32,-31,3723
77,Growlithe (Hisuian Growlithe),-28,-13,-15,5,-32,-36,3523
78,Arcanine,2,22,20,40,-2,4,2508
79,Arcanine (Hisuian Arcanine),7,27,20,35,-2,-1,2408
80,Poliwag,-48,-38,-20,-20,-42,-1,6313
81,Poliwhirl,-23,-23,5,-10,-32,-1,2208
82,Poliwrath,2,7,35,10,8,-21,1883
83,Abra,-63,-68,-45,45,-27,-1,13373
84,Kadabra,-48,-53,-30,60,-12,14,9953
85,Alakazam,-33,-38,-15,75,13,29,9393
86,Alakazam (Mega Alakazam),-33,-38,5,115,23,59,19793
87,Machop,-18,-8,-10,-25,-47,-56,6458
88,Machoke,-8,12,10,-10,-22,-46,3008
89,Machamp,2,42,20,5,3,-36,3498
90,Bellsprout,-38,-13,-25,10,-52,-51,7643
91,Weepinbell,-23,2,-10,25,-37,-36,3923
92,Victreebel,-8,17,5,40,-12,-21,2563
93,Tentacool,-48,-48,-25,-10,18,-21,6098
94,Tentacruel,-8,-18,5,20,38,9,2338
95,Geodude,-48,-8,40,-30,-52,-71,12613
96,Geodude (Alolan Geodude),-48,-8,40,-30,-52,-71,12613
97,Graveler,-33,7,55,-15,-37,-56,8893
98,Graveler (Alolan Graveler),-33,7,55,-15,-37,-56,8893
99,Golem,-8,32,70,-5,-17,-46,8418
100,Golem (Alolan Golem),-8,32,70,-5,-17,-46,8418
101,Ponyta,-38,-3,-5,5,-17,-1,1793
102,Ponyta (Galarian Ponyta),-38,-3,-5,5,-17,-1,1793
103,Rapidash,-23,12,10,20,-2,14,1373
104,Rapidash (Galarian Rapidash),-23,12,10,20,-2,14,1373
105,Slowpoke,2,-23,5,-20,-42,-76,8498
106,Slowpoke (Galarian Slowpoke),2,-23,5,-20,-42,-76,8498
107,Slowbro,7,-13,50,40,-2,-61,8043
108,Slowbro (Mega Slowbro),7,-13,120,70,-2,-61,23243
109,Slowbro (Galarian Slowbro),7,12,35,40,-12,-61,6883
110,Magnemite,-63,-53,10,35,-27,-46,10948
111,Magneton,-38,-28,35,60,-12,-21,7638
112,Farfetch'd,-36,2,-5,-2,-20,-31,2690
113,Farfetch'd (Galarian Farfetch'd),-36,7,-5,-2,-20,-36,3070
114,Doduo,-53,-3,-15,-25,-47,-16,6133
115,Dodrio,-28,22,10,0,-22,19,2213
116,Seel,-23,-43,-5,-15,-12,-46,4888
117,Dewgong,2,-18,20,10,13,-21,1438
118,Grimer,-8,-8,-10,-20,-32,-66,6008
119,Grimer (Alolan Grimer),-8,-8,-10,-20,-32,-66,6008
120,Muk,17,17,15,5,18,-41,2833
121,Muk (Alolan Muk),17,17,15,5,18,-41,2833
122,Shellder,-58,-23,40,-15,-57,-51,11568
123,Cloyster,-38,7,120,25,-37,-21,18328
124,Gastly,-58,-53,-30,40,-47,-11,11003
125,Haunter,-43,-38,-15,55,-27,4,7288
126,Gengar,-28,-23,0,70,-7,19,6623
127,Gengar (Mega Gengar),-28,-23,20,110,13,39,15503
128,Onix,-53,-43,100,-30,-37,-21,17368
129,Drowzee,-28,-40,-15,-17,8,-49,5363
130,Hypno,-3,-15,10,13,33,-24,2168
131,Krabby,-58,17,30,-35,-57,-41,10708
132,Kingler,-33,42,55,-10,-32,-16,7258
133,Voltorb,-48,-58,-10,-5,-27,9,6603
134,Voltorb (Hisuian Voltorb),-48,-58,-10,-5,-27,9,6603
135,Electrode,-28,-38,10,20,-2,59,6213
136,Electrode (Hisuian Electrode),-28,-38,10,20,-2,59,6213
137,Exeggcute,-28,-48,20,0,-37,-51,7458
138,Exeggutor,7,7,25,65,-7,-36,6293
139,Exeggutor (Alolan Exeggutor),7,17,25,65,-7,-46,7353
140,Cubone,-38,-38,35,-20,-32,-56,8673
