Anna Brown vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-32,-53,-48,-11,-28,-52,9746
1,Ivysaur,-17,-40,-34,4,-13,-37,4599
2,Venusaur,3,-20,-14,24,7,-17,1519
3,Venusaur (Mega Venusaur),3,-2,26,46,27,-17,3823
4,Charmander,-38,-50,-54,-16,-43,-32,9989
5,Charmeleon,-19,-38,-39,4,-28,-17,4415
6,Charizard,1,-18,-19,33,-8,3,1848
7,Charizard (Mega Charizard X),1,28,14,54,-8,3,3970
8,Charizard (Mega Charizard Y),1,2,-19,83,22,3,7748
9,Squirtle,-33,-54,-32,-26,-29,-54,9462
10,Wartortle,-18,-39,-17,-11,-13,-39,3945
11,Blastoise,2,-19,3,9,12,-19,960
12,Blastoise (Mega Blastoise),2,1,23,59,22,-19,4860
13,Caterpie,-32,-72,-62,-56,-73,-52,21221
14,Metapod,-27,-82,-42,-51,-68,-67,20931
15,Butterfree,-17,-57,-47,14,-13,-27,6841
16,Weedle,-37,-67,-67,-56,-73,-47,21021
17,Kakuna,-32,-77,-47,-51,-68,-62,20231
18,Beedrill,-12,-12,-57,-31,-13,-22,5151
19,Beedrill (Mega Beedrill),-12,48,-57,-61,-13,48,11891
20,Pidgey,-37,-57,-57,-41,-58,-41,14593
21,Pidgeotto,-14,-42,-42,-26,-43,-26,6925
22,Pidgeot,6,-22,-22,-6,-23,4,1585
23,Pidgeot (Mega Pidgeot),6,-22,-17,59,-13,24,5035
24,Rattata,-47,-46,-62,-51,-58,-25,14759
25,Rattata (Alolan Rattata),-47,-46,-62,-51,-58,-25,14759
26,Raticate,-22,-21,-37,-26,-23,0,3499
27,Raticate (Alolan Raticate),-2,-31,-27,-36,-13,-20,3559
28,Spearow,-37,-42,-67,-45,-62,-27,14220
29,Fearow,-12,-12,-32,-15,-32,3,2570
30,Ekans,-42,-42,-53,-36,-39,-42,10918
31,Arbok,-17,-7,-28,-11,-14,-17,1728
32,Pikachu,-42,-47,-57,-26,-43,-7,9796
33,Pikachu (Partner Pikachu),-32,-22,-47,-1,-33,23,5336
34,Raichu,-17,-12,-42,14,-13,13,2731
35,Raichu (Alolan Raichu),-17,-17,-47,19,-8,13,3381
36,Sandshrew,-27,-27,-12,-56,-63,-57,11956
37,Sandshrew (Alolan Sandshrew),-27,-27,-7,-66,-58,-57,12476
38,Sandslash,-2,-2,13,-31,-38,-32,3606
39,Sandslash (Alolan Sandslash),-2,-2,23,-51,-28,-32,4946
40,Nidoran♀,-22,-55,-45,-36,-53,-56,12775
41,Nidorina,-7,-40,-30,-21,-38,-41,6115
42,Nidoqueen,13,-10,-10,-1,-8,-21,875
43,Nidoran♂,-31,-45,-57,-36,-53,-47,12549
44,Nidorino,-16,-30,-40,-21,-38,-32,5665
45,Nidoking,4,0,-20,9,-18,-12,965
46,Clefairy,-7,-57,-49,-16,-28,-62,10583
47,Clefable,18,-32,-24,19,-3,-37,3663
48,Vulpix,-39,-61,-57,-26,-28,-32,10975
49,Vulpix (Alolan Vulpix),-39,-61,-57,-26,-28,-32,10975
50,Ninetales,-4,-26,-22,5,7,3,1259
51,Ninetales (Alolan Ninetales),-4,-35,-22,5,7,12,1943
52,Jigglypuff,38,-57,-77,-31,-68,-77,22136
53,Wigglytuff,63,-32,-52,9,-43,-52,12331
54,Zubat,-37,-57,-62,-46,-53,-42,15151
55,Golbat,-2,-22,-27,-11,-18,-7,1711
56,Oddish,-32,-52,-42,-1,-28,-67,10766
57,Gloom,-17,-37,-27,9,-18,-57,6041
58,Vileplume,-2,-22,-12,34,-3,-47,4006
59,Paras,-42,-32,-42,-31,-38,-72,12141
60,Parasect,-17,-7,-17,-16,-13,-67,5541
61,Venonat,-17,-47,-47,-36,-38,-52,10151
62,Venomoth,-7,-37,-37,14,-18,-7,3356
63,Diglett,-67,-47,-72,-41,-48,-2,15871
64,Diglett (Alolan Diglett),-67,-47,-67,-41,-48,-7,15221
