Bryce Taylor vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-32,-59,-60,-1,-33,-58,12559
1,Ivysaur,-17,-46,-46,14,-18,-43,6890
2,Venusaur,3,-26,-26,34,2,-23,3050
3,Venusaur (Mega Venusaur),3,-8,14,56,22,-23,4418
4,Charmander,-38,-56,-66,-6,-48,-38,12720
5,Charmeleon,-19,-44,-51,14,-33,-23,6712
6,Charizard,1,-24,-31,43,-13,-3,3565
7,Charizard (Mega Charizard X),1,22,2,64,-13,-3,4763
8,Charizard (Mega Charizard Y),1,-4,-31,93,17,-3,9925
9,Squirtle,-33,-60,-44,-16,-34,-60,11637
10,Wartortle,-18,-45,-29,-1,-18,-45,5540
11,Blastoise,2,-25,-9,19,7,-25,1745
12,Blastoise (Mega Blastoise),2,-5,11,69,17,-25,5825
13,Caterpie,-32,-78,-74,-46,-78,-58,24148
14,Metapod,-27,-88,-54,-41,-73,-73,23728
15,Butterfree,-17,-63,-59,24,-18,-33,9728
16,Weedle,-37,-73,-79,-46,-78,-53,23948
17,Kakuna,-32,-83,-59,-41,-73,-68,23028
18,Beedrill,-12,-18,-69,-21,-18,-28,6778
19,Beedrill (Mega Beedrill),-12,42,-69,-51,-18,42,11358
20,Pidgey,-37,-63,-69,-31,-63,-47,17238
21,Pidgeotto,-14,-48,-54,-16,-48,-32,9000
22,Pidgeot,6,-28,-34,4,-28,-2,2780
23,Pidgeot (Mega Pidgeot),6,-28,-29,69,-18,18,7070
24,Rattata,-47,-52,-74,-41,-63,-31,17000
25,Rattata (Alolan Rattata),-47,-52,-74,-41,-63,-31,17000
26,Raticate,-22,-27,-49,-16,-28,-6,4690
27,Raticate (Alolan Raticate),-2,-37,-39,-26,-18,-26,4570
28,Spearow,-37,-48,-79,-35,-67,-33,16717
29,Fearow,-12,-18,-44,-5,-37,-3,3807
30,Ekans,-42,-48,-65,-26,-44,-48,13209
31,Arbok,-17,-13,-40,-1,-19,-23,2949
32,Pikachu,-42,-53,-69,-16,-48,-13,12063
33,Pikachu (Partner Pikachu),-32,-28,-59,9,-38,17,7103
34,Raichu,-17,-18,-54,24,-18,7,4478
35,Raichu (Alolan Raichu),-17,-23,-59,29,-13,7,5358
36,Sandshrew,-27,-33,-24,-46,-68,-63,13103
37,Sandshrew (Alolan Sandshrew),-27,-33,-19,-56,-63,-63,13253
38,Sandslash,-2,-8,1,-21,-43,-38,3803
39,Sandslash (Alolan Sandslash),-2,-8,11,-41,-33,-38,4403
40,Nidoran♀,-22,-61,-57,-26,-58,-62,15338
41,Nidorina,-7,-46,-42,-11,-43,-47,8108
42,Nidoqueen,13,-16,-22,9,-13,-27,1888
43,Nidoran♂,-31,-51,-69,-26,-58,-53,15172
44,Nidorino,-16,-36,-52,-11,-43,-38,7670
45,Nidoking,4,-6,-32,19,-23,-18,2290
46,Clefairy,-7,-63,-61,-6,-33,-68,13488
47,Clefable,18,-38,-36,29,-8,-43,5818
48,Vulpix,-39,-67,-69,-16,-33,-38,13560
49,Vulpix (Alolan Vulpix),-39,-67,-69,-16,-33,-38,13560
50,Ninetales,-4,-32,-34,15,2,-3,2434
51,Ninetales (Alolan Ninetales),-4,-41,-34,15,2,6,3118
52,Jigglypuff,38,-63,-89,-21,-73,-83,25993
53,Wigglytuff,63,-38,-64,19,-48,-58,15538
54,Zubat,-37,-63,-74,-36,-58,-48,17778
55,Golbat,-2,-28,-39,-1,-23,-13,3008
56,Oddish,-32,-58,-54,9,-33,-73,13803
57,Gloom,-17,-43,-39,19,-23,-63,8518
58,Vileplume,-2,-28,-24,44,-8,-53,6173
59,Paras,-42,-38,-54,-21,-43,-78,14498
60,Parasect,-17,-13,-29,-6,-18,-73,6988
61,Venonat,-17,-53,-59,-26,-43,-58,12468
62,Venomoth,-7,-43,-49,24,-23,-13,5573
63,Diglett,-67,-53,-84,-31,-53,-8,18188
64,Diglett (Alolan Diglett),-67,-53,-79,-31,-53,-13,17478
65,Dugtrio,-42,-8,-59,-16,-28,17,6638
