Carla Betancourt vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-53,-53,-48,-20,-55,-68,15971
1,Ivysaur,-38,-40,-34,-5,-40,-53,8634
2,Venusaur,-18,-20,-14,15,-20,-33,2634
3,Venusaur (Mega Venusaur),-18,-2,26,37,0,-33,3462
4,Charmander,-59,-50,-54,-25,-70,-48,16726
5,Charmeleon,-40,-38,-39,-5,-55,-33,8704
6,Charizard,-20,-18,-19,24,-35,-13,3055
7,Charizard (Mega Charizard X),-20,28,14,45,-35,-13,4799
8,Charizard (Mega Charizard Y),-20,2,-19,74,-5,-13,6435
9,Squirtle,-54,-54,-32,-35,-56,-70,16117
10,Wartortle,-39,-39,-17,-20,-40,-55,8356
11,Blastoise,-19,-19,3,0,-15,-35,2181
12,Blastoise (Mega Blastoise),-19,1,23,50,-5,-35,4641
13,Caterpie,-53,-72,-62,-65,-100,-68,30686
14,Metapod,-48,-82,-42,-60,-95,-83,30306
15,Butterfree,-38,-57,-47,5,-40,-43,10376
16,Weedle,-58,-67,-67,-65,-100,-63,30536
17,Kakuna,-53,-77,-47,-60,-95,-78,29656
18,Beedrill,-33,-12,-57,-40,-40,-38,9126
19,Beedrill (Mega Beedrill),-33,48,-57,-70,-40,32,14166
20,Pidgey,-58,-57,-57,-50,-85,-57,22836
21,Pidgeotto,-35,-42,-42,-35,-70,-42,12642
22,Pidgeot,-15,-22,-22,-15,-50,-12,4062
23,Pidgeot (Mega Pidgeot),-15,-22,-17,50,-40,8,5162
24,Rattata,-68,-46,-62,-60,-85,-41,23090
25,Rattata (Alolan Rattata),-68,-46,-62,-60,-85,-41,23090
26,Raticate,-43,-21,-37,-35,-50,-16,7640
27,Raticate (Alolan Raticate),-23,-31,-27,-45,-40,-36,7140
28,Spearow,-58,-42,-67,-54,-89,-43,22303
29,Fearow,-33,-12,-32,-24,-59,-13,6483
30,Ekans,-63,-42,-53,-45,-66,-58,18287
31,Arbok,-38,-7,-28,-20,-41,-33,5447
32,Pikachu,-63,-47,-57,-35,-70,-23,16081
33,Pikachu (Partner Pikachu),-53,-22,-47,-10,-60,7,9251
34,Raichu,-38,-12,-42,5,-40,-3,4986
35,Raichu (Alolan Raichu),-38,-17,-47,10,-35,-3,5276
36,Sandshrew,-48,-27,-12,-65,-90,-73,20831
37,Sandshrew (Alolan Sandshrew),-48,-27,-7,-75,-85,-73,21261
38,Sandslash,-23,-2,13,-40,-65,-48,8831
39,Sandslash (Alolan Sandslash),-23,-2,23,-60,-55,-48,9991
40,Nidoran♀,-43,-55,-45,-45,-80,-72,20508
41,Nidorina,-28,-40,-30,-30,-65,-57,11658
42,Nidoqueen,-8,-10,-10,-10,-35,-37,2958
43,Nidoran♂,-52,-45,-57,-45,-80,-63,20372
