Carolyn LastName vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-26,-60,-48,0,-15,-50,9305
1,Ivysaur,-11,-47,-34,15,0,-35,4936
2,Venusaur,9,-27,-14,35,20,-15,2856
3,Venusaur (Mega Venusaur),9,-9,26,57,40,-15,5912
4,Charmander,-32,-57,-54,-5,-30,-30,9014
5,Charmeleon,-13,-45,-39,15,-15,-15,4390
6,Charizard,7,-25,-19,44,5,5,3021
7,Charizard (Mega Charizard X),7,21,14,65,5,5,4961
8,Charizard (Mega Charizard Y),7,-5,-19,94,35,5,10521
9,Squirtle,-27,-61,-32,-15,-16,-52,8659
10,Wartortle,-12,-46,-17,0,0,-37,3918
11,Blastoise,8,-26,3,20,25,-17,2063
12,Blastoise (Mega Blastoise),8,-6,23,70,35,-17,7043
13,Caterpie,-26,-79,-62,-45,-60,-50,18886
14,Metapod,-21,-89,-42,-40,-55,-65,18976
15,Butterfree,-11,-64,-47,25,0,-25,7676
16,Weedle,-31,-74,-67,-45,-60,-45,18576
17,Kakuna,-26,-84,-47,-40,-55,-60,18166
18,Beedrill,-6,-19,-57,-20,0,-20,4446
19,Beedrill (Mega Beedrill),-6,41,-57,-50,0,50,9966
20,Pidgey,-31,-64,-57,-30,-45,-39,12752
21,Pidgeotto,-8,-49,-42,-15,-30,-24,5930
22,Pidgeot,12,-29,-22,5,-10,6,1630
23,Pidgeot (Mega Pidgeot),12,-29,-17,70,0,26,6850
24,Rattata,-41,-53,-62,-40,-45,-23,12488
25,Rattata (Alolan Rattata),-41,-53,-62,-40,-45,-23,12488
26,Raticate,-16,-28,-37,-15,-10,2,2738
27,Raticate (Alolan Raticate),4,-38,-27,-25,0,-18,3138
28,Spearow,-31,-49,-67,-34,-49,-25,12033
29,Fearow,-6,-19,-32,-4,-19,5,1823
30,Ekans,-36,-49,-53,-25,-26,-40,9407
31,Arbok,-11,-14,-28,0,-1,-15,1327
32,Pikachu,-36,-54,-57,-15,-30,-5,8611
33,Pikachu (Partner Pikachu),-26,-29,-47,10,-20,25,4851
34,Raichu,-11,-19,-42,25,0,15,3096
35,Raichu (Alolan Raichu),-11,-24,-47,30,5,15,4056
36,Sandshrew,-21,-34,-12,-45,-50,-55,9291
37,Sandshrew (Alolan Sandshrew),-21,-34,-7,-55,-45,-55,9721
38,Sandslash,4,-9,13,-20,-25,-30,2191
39,Sandslash (Alolan Sandslash),4,-9,23,-40,-15,-30,3351
40,Nidoran♀,-16,-62,-45,-25,-40,-54,11266
41,Nidorina,-1,-47,-30,-10,-25,-39,5356
42,Nidoqueen,19,-17,-10,10,5,-19,1236
43,Nidoran♂,-25,-52,-57,-25,-40,-45,10828
44,Nidorino,-10,-37,-40,-10,-25,-30,4694
45,Nidoking,10,-7,-20,20,-5,-10,1074
46,Clefairy,-1,-64,-49,-5,-15,-60,10348
47,Clefable,24,-39,-24,30,10,-35,4898
48,Vulpix,-33,-68,-57,-15,-15,-30,10312
49,Vulpix (Alolan Vulpix),-33,-68,-57,-15,-15,-30,10312
50,Ninetales,2,-33,-22,16,20,5,2258
51,Ninetales (Alolan Ninetales),2,-42,-22,16,20,14,3104
52,Jigglypuff,44,-64,-77,-20,-55,-75,21011
53,Wigglytuff,69,-39,-52,20,-30,-50,12786
54,Zubat,-31,-64,-62,-35,-40,-40,13326
55,Golbat,4,-29,-27,0,-5,-5,1636
56,Oddish,-26,-59,-42,10,-15,-65,10471
57,Gloom,-11,-44,-27,20,-5,-55,6236
58,Vileplume,4,-29,-12,45,10,-45,5151
59,Paras,-36,-39,-42,-20,-25,-70,10506
60,Parasect,-11,-14,-17,-5,0,-65,4856
61,Venonat,-11,-54,-47,-25,-25,-50,8996
62,Venomoth,-1,-44,-37,25,-5,-5,3981
63,Diglett,-61,-54,-72,-30,-35,0,13946
64,Diglett (Alolan Diglett),-61,-54,-67,-30,-35,-5,13276
65,Dugtrio,-36,-9,-47,-15,-10,25,4536
66,Dugtrio (Alolan Dugtrio),-36,-9,-37,-15,-10,15,3296
67,Meowth,-31,-64,-62,-25,-40,-5,11151
68,Meowth (Alolan Meowth),-31,-74,-62,-15,-40,-5,12131
69,Meowth (Galarian Meowth),-21,-44,-42,-25,-40,-55,9391
70,Persian,-6,-39,-37,0,-15,20,3551
71,Persian (Alolan Persian),-6,-49,-37,10,-15,20,4531
72,Psyduck,-21,-57,-49,0,-30,-40,8591
73,Golduck,9,-27,-19,30,0,-10,2171
74,Mankey,-31,-29,-62,-30,-35,-25,8396
75,Primeape,-6,-4,-37,-5,-10,0,1546
76,Growlithe,-16,-39,-52,5,-30,-35,6631
77,Growlithe (Hisuian Growlithe),-11,-34,-52,0,-30,-40,6481
78,Arcanine,19,1,-17,35,0,0,1876
79,Arcanine (Hisuian Arcanine),24,6,-17,30,0,-5,1826
80,Poliwag,-31,-59,-57,-25,-40,-5,9941
81,Poliwhirl,-6,-44,-32,-15,-30,-5,4146
82,Poliwrath,19,-14,-2,5,10,-25,1311
83,Abra,-46,-89,-82,40,-25,-5,19011
84,Kadabra,-31,-74,-67,55,-10,10,14151
85,Alakazam,-16,-59,-52,70,15,25,12191
86,Alakazam (Mega Alakazam),-16,-59,-32,110,25,55,20511
87,Machop,-1,-29,-47,-30,-45,-60,9576
88,Machoke,9,-9,-27,-15,-20,-50,4016
89,Machamp,19,21,-17,0,5,-40,2716
90,Bellsprout,-21,-34,-62,5,-50,-55,10991
91,Weepinbell,-6,-19,-47,20,-35,-40,5831
92,Victreebel,9,-4,-32,35,-10,-25,3071
93,Tentacool,-31,-69,-62,-15,20,-25,10816
94,Tentacruel,9,-39,-32,15,40,5,4476
95,Geodude,-31,-29,3,-35,-50,-75,11161
96,Geodude (Alolan Geodude),-31,-29,3,-35,-50,-75,11161
97,Graveler,-16,-14,18,-20,-35,-60,6001
98,Graveler (Alolan Graveler),-16,-14,18,-20,-35,-60,6001
99,Golem,9,11,33,-10,-15,-50,4116
100,Golem (Alolan Golem),9,11,33,-10,-15,-50,4116
101,Ponyta,-21,-24,-42,0,-15,-5,3031
102,Ponyta (Galarian Ponyta),-21,-24,-42,0,-15,-5,3031
103,Rapidash,-6,-9,-27,15,0,10,1171
104,Rapidash (Galarian Rapidash),-6,-9,-27,15,0,10,1171
105,Slowpoke,19,-44,-32,-25,-40,-80,11946
106,Slowpoke (Galarian Slowpoke),19,-44,-32,-25,-40,-80,11946
107,Slowbro,24,-34,13,35,0,-65,7351
108,Slowbro (Mega Slowbro),24,-34,83,65,0,-65,17071
109,Slowbro (Galarian Slowbro),24,-9,-2,35,-10,-65,6211
110,Magnemite,-46,-74,-27,30,-25,-50,12346
111,Magneton,-21,-49,-2,55,-10,-25,6596
112,Farfetch'd,-19,-19,-42,-7,-18,-35,4084
113,Farfetch'd (Galarian Farfetch'd),-19,-14,-42,-7,-18,-40,4294
114,Doduo,-36,-24,-52,-30,-45,-20,7901
115,Dodrio,-11,1,-27,-5,-20,15,1501
116,Seel,-6,-64,-42,-20,-10,-50,8896
117,Dewgong,19,-39,-17,5,15,-25,3046
118,Grimer,9,-29,-47,-25,-30,-70,9556
119,Grimer (Alolan Grimer),9,-29,-47,-25,-30,-70,9556
120,Muk,34,-4,-22,0,20,-45,4081
121,Muk (Alolan Muk),34,-4,-22,0,20,-45,4081
122,Shellder,-41,-44,3,-20,-55,-55,10076
123,Cloyster,-21,-14,83,20,-35,-25,9776
124,Gastly,-41,-74,-67,35,-45,-15,15121
125,Haunter,-26,-59,-52,50,-25,0,9986
126,Gengar,-11,-44,-37,65,-5,15,7901
127,Gengar (Mega Gengar),-11,-44,-17,105,15,35,14821
128,Onix,-36,-64,63,-35,-35,-25,12436
129,Drowzee,-11,-61,-52,-22,10,-53,9939
130,Hypno,14,-36,-27,8,35,-28,4294
131,Krabby,-41,-4,-7,-40,-55,-45,8396
132,Kingler,-16,21,18,-15,-30,-20,2546
133,Voltorb,-31,-79,-47,-10,-25,5,10161
134,Voltorb (Hisuian Voltorb),-31,-79,-47,-10,-25,5,10161
135,Electrode,-11,-59,-27,15,0,55,7581
136,Electrode (Hisuian Electrode),-11,-59,-27,15,0,55,7581
137,Exeggcute,-11,-69,-17,-5,-35,-55,9446
138,Exeggutor,24,-14,-12,60,-5,-40,6141
139,Exeggutor (Alolan Exeggutor),24,-4,-12,60,-5,-50,6861
140,Cubone,-21,-59,-2,-25,-30,-60,9051
141,Marowak,-11,-29,13,-15,0,-50,3856
142,Marowak (Alolan Marowak),-11,-29,13,-15,0,-50,3856
143,Hitmonlee,-21,11,-44,-30,30,-8,4362
144,Hitmonchan,-21,-4,-18,-30,30,-19,2942
145,Lickitung,19,-54,-22,-5,-5,-65,8036
146,Koffing,-31,-44,-2,-5,-35,-60,7751
147,Weezing,-6,-19,23,20,-10,-35,2651
148,Weezing (Galarian Weezing),-6,-19,23,20,-10,-35,2651
149,Rhyhorn,9,-24,-2,-35,-50,-70,9286
150,Rhydon,34,21,23,-20,-35,-55,6776
151,Chansey,179,-104,-92,-30,25,-45,54871
152,Tangela,-6,-54,18,35,-40,-35,7326
153,Kangaskhan,34,-14,-17,-25,0,-5,2291
154,Kangaskhan (Mega Kangaskhan),34,16,3,-5,20,5,1871
155,Horsea,-41,-69,-27,5,-55,-35,11446
156,Seadra,-16,-44,-2,30,-35,-10,4421
157,Goldeen,-26,-42,-37,-30,-30,-32,6633
158,Seaking,9,-17,-32,0,0,-27,2123
159,Staryu,-41,-64,-42,5,-25,-10,8291
160,Starmie,-11,-34,-12,35,5,20,3071
161,Mr. Mime,-31,-64,-32,35,40,-5,8931
162,Mr. Mime (Galarian Mr. Mime),-21,-44,-32,25,10,5,4151
163,Scyther,-1,1,-17,-10,0,10,491
164,Jynx,-6,-59,-62,50,15,0,10086
165,Electabuzz,-6,-26,-40,30,5,10,3337
166,Magmar,-6,-14,-40,35,5,-2,3086
167,Pinsir,-6,16,3,-10,-10,-10,601
168,Pinsir (Mega Pinsir),-6,46,23,0,10,10,2881
169,Tauros,4,-9,-2,-25,-10,15,1051
170,Tauros (Paldean Tauros (Combat Breed)),4,1,8,-35,-10,5,1431
171,Tauros (Paldean Tauros (Blaze Breed)),4,1,8,-35,-10,5,1431
172,Tauros (Paldean Tauros (Aqua Breed)),4,1,8,-35,-10,5,1431
173,Magikarp,-51,-99,-42,-50,-60,-15,20491
174,Gyarados,24,16,-18,-5,20,-14,1777
175,Gyarados (Mega Gyarados),24,46,12,5,50,-14,5557
176,Lapras,59,-24,-17,20,15,-35,6196
177,Ditto,-23,-61,-49,-17,-32,-47,10173
178,Eevee,-16,-54,-47,-20,-15,-40,7606
179,Eevee (Partner Eevee),-6,-34,-27,0,5,-20,2346
180,Vaporeon,59,-44,-37,45,15,-30,9936
181,Jolteon,-6,-44,-37,45,15,35,6816
182,Flareon,-6,21,-37,30,30,-30,4546
183,Porygon,-6,-49,-27,20,-5,-55,6616
184,Omanyte,-36,-69,3,25,-25,-60,10916
185,Omastar,-1,-49,28,50,-10,-40,7386
186,Kabuto,-41,-29,-7,-10,-35,-40,5496
187,Kabutops,-11,6,8,0,-10,-15,546
188,Aerodactyl,9,-4,-32,-5,-5,35,2396
189,Aerodactyl (Mega Aerodactyl),9,26,-12,5,15,55,4176
190,Snorlax,89,1,-32,0,30,-65,14071
191,Articuno,19,-24,3,30,45,-10,3971
192,Articuno (Galarian Articuno),19,-24,-12,60,20,0,5081
193,Zapdos,19,-19,-12,60,10,5,4591
194,Zapdos (Galarian Zapdos),19,16,-7,20,10,5,1191
195,Moltres,19,-9,-7,60,5,-5,4141
196,Moltres (Galarian Moltres),19,-24,-7,35,45,-5,4261
197,Dratini,-30,-45,-52,-15,-30,-45,8779
198,Dragonair,-10,-25,-32,5,-10,-25,2499
199,Dragonite,20,25,-2,35,20,-15,2879
200,Mewtwo,35,1,-7,89,10,35,10521
201,Mewtwo (Mega Mewtwo X),35,81,3,89,20,35,17341
202,Mewtwo (Mega Mewtwo Y),35,41,-27,129,40,45,23901
203,Mew,29,-9,3,35,20,5,2581
204,Chikorita,-26,-60,-32,-16,-15,-50,8281
205,Bayleef,-11,-47,-17,-2,0,-35,3848
206,Meganium,9,-27,3,18,20,-15,1768
207,Cyndaquil,-32,-57,-54,-5,-30,-30,9014
208,Quilava,-13,-45,-39,15,-15,-15,4390
209,Typhlosion,7,-25,-19,44,5,5,3021
