Charles Myersberg vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-28,-48,-11,5,-10,-37,4703
1,Ivysaur,-13,-35,3,20,5,-22,2312
2,Venusaur,7,-15,23,40,25,-2,3032
3,Venusaur (Mega Venusaur),7,3,63,62,45,-2,9900
4,Charmander,-34,-45,-17,0,-25,-17,4384
5,Charmeleon,-15,-33,-2,20,-10,-2,1822
6,Charizard,5,-13,18,49,10,18,3343
7,Charizard (Mega Charizard X),5,33,51,70,10,18,9039
8,Charizard (Mega Charizard Y),5,7,18,99,40,18,12123
9,Squirtle,-29,-49,5,-10,-11,-39,5009
10,Wartortle,-14,-34,20,5,5,-24,2378
11,Blastoise,6,-14,40,25,30,-4,3373
12,Blastoise (Mega Blastoise),6,6,60,75,40,-4,10913
13,Caterpie,-28,-67,-25,-40,-55,-37,11892
14,Metapod,-23,-77,-5,-35,-50,-52,12912
15,Butterfree,-13,-52,-10,30,5,-12,4042
16,Weedle,-33,-62,-30,-40,-55,-32,11482
17,Kakuna,-28,-72,-10,-35,-50,-47,12002
18,Beedrill,-8,-7,-20,-15,5,-7,812
19,Beedrill (Mega Beedrill),-8,53,-20,-45,5,63,9292
20,Pidgey,-33,-52,-20,-25,-40,-26,7094
21,Pidgeotto,-10,-37,-5,-10,-25,-11,2340
22,Pidgeot,10,-17,15,10,-5,19,1100
23,Pidgeot (Mega Pidgeot),10,-17,20,75,5,39,7960
24,Rattata,-43,-41,-25,-35,-40,-10,7080
25,Rattata (Alolan Rattata),-43,-41,-25,-35,-40,-10,7080
26,Raticate,-18,-16,0,-10,-5,15,930
27,Raticate (Alolan Raticate),2,-26,10,-20,5,-5,1230
28,Spearow,-33,-37,-30,-29,-44,-12,6279
29,Fearow,-8,-7,5,1,-14,18,659
30,Ekans,-38,-37,-16,-20,-21,-27,4639
31,Arbok,-13,-2,9,5,4,-2,299
32,Pikachu,-38,-42,-20,-10,-25,8,4397
33,Pikachu (Partner Pikachu),-28,-17,-10,15,-15,38,3067
34,Raichu,-13,-7,-5,30,5,28,1952
35,Raichu (Alolan Raichu),-13,-12,-10,35,10,28,2522
36,Sandshrew,-23,-22,25,-40,-45,-42,7027
37,Sandshrew (Alolan Sandshrew),-23,-22,30,-50,-40,-42,7777
38,Sandslash,2,3,50,-15,-20,-17,3427
39,Sandslash (Alolan Sandslash),2,3,60,-35,-10,-17,5227
40,Nidoran♀,-18,-50,-8,-20,-35,-41,6194
41,Nidorina,-3,-35,7,-5,-20,-26,2384
42,Nidoqueen,17,-5,27,15,10,-6,1404
43,Nidoran♂,-27,-40,-20,-20,-35,-32,5378
44,Nidorino,-12,-25,-3,-5,-20,-17,1492
45,Nidoking,8,5,17,25,0,3,1012
46,Clefairy,-3,-52,-12,0,-10,-47,5166
47,Clefable,22,-27,13,35,15,-22,3316
48,Vulpix,-35,-56,-20,-10,-10,-17,5250
49,Vulpix (Alolan Vulpix),-35,-56,-20,-10,-10,-17,5250
50,Ninetales,0,-21,15,21,25,18,2056
51,Ninetales (Alolan Ninetales),0,-30,15,21,25,27,2920
52,Jigglypuff,42,-52,-40,-15,-50,-62,12637
53,Wigglytuff,67,-27,-15,25,-25,-37,8062
54,Zubat,-33,-52,-25,-30,-35,-27,7272
55,Golbat,2,-17,10,5,0,8,482
56,Oddish,-28,-47,-5,15,-10,-52,6047
57,Gloom,-13,-32,10,25,0,-42,3682
58,Vileplume,2,-17,25,50,15,-32,4667
59,Paras,-38,-27,-5,-15,-20,-57,6072
60,Parasect,-13,-2,20,0,5,-52,3302
61,Venonat,-13,-42,-10,-20,-20,-37,4202
62,Venomoth,-3,-32,0,30,0,8,1997
63,Diglett,-63,-42,-35,-25,-30,13,8652
64,Diglett (Alolan Diglett),-63,-42,-30,-25,-30,8,8222
65,Dugtrio,-38,3,-10,-10,-5,38,3122
66,Dugtrio (Alolan Dugtrio),-38,3,0,-10,-5,28,2362
67,Meowth,-33,-52,-25,-20,-35,8,6107
68,Meowth (Alolan Meowth),-33,-62,-25,-10,-35,8,6947
69,Meowth (Galarian Meowth),-23,-32,-5,-20,-35,-42,4967
70,Persian,-8,-27,0,5,-10,33,2007
71,Persian (Alolan Persian),-8,-37,0,15,-10,33,2847
72,Psyduck,-23,-45,-12,5,-25,-27,4077
73,Golduck,7,-15,18,35,5,3,1857
74,Mankey,-33,-17,-25,-25,-30,-12,3672
75,Primeape,-8,8,0,0,-5,13,322
76,Growlithe,-18,-27,-15,10,-25,-22,2487
77,Growlithe (Hisuian Growlithe),-13,-22,-15,5,-25,-27,2257
78,Arcanine,17,13,20,40,5,13,2652
79,Arcanine (Hisuian Arcanine),22,18,20,35,5,8,2522
80,Poliwag,-33,-47,-20,-20,-35,8,5387
81,Poliwhirl,-8,-32,5,-10,-25,8,1902
82,Poliwrath,17,-2,35,10,15,-12,1987
83,Abra,-48,-77,-45,45,-20,8,12747
84,Kadabra,-33,-62,-30,60,-5,23,9987
85,Alakazam,-18,-47,-15,75,20,38,10227
86,Alakazam (Mega Alakazam),-18,-47,5,115,30,68,21307
87,Machop,-3,-17,-10,-25,-40,-47,4832
88,Machoke,7,3,10,-10,-15,-37,1852
89,Machamp,17,33,20,5,10,-27,2632
90,Bellsprout,-23,-22,-25,10,-45,-42,5527
91,Weepinbell,-8,-7,-10,25,-30,-27,2467
92,Victreebel,7,8,5,40,-5,-12,1907
93,Tentacool,-33,-57,-25,-10,25,-12,5832
94,Tentacruel,7,-27,5,20,45,18,3552
95,Geodude,-33,-17,40,-30,-45,-62,9747
96,Geodude (Alolan Geodude),-33,-17,40,-30,-45,-62,9747
97,Graveler,-18,-2,55,-15,-30,-47,6687
98,Graveler (Alolan Graveler),-18,-2,55,-15,-30,-47,6687
99,Golem,7,23,70,-5,-10,-37,6972
100,Golem (Alolan Golem),7,23,70,-5,-10,-37,6972
101,Ponyta,-23,-12,-5,5,-10,8,887
102,Ponyta (Galarian Ponyta),-23,-12,-5,5,-10,8,887
103,Rapidash,-8,3,10,20,5,23,1127
104,Rapidash (Galarian Rapidash),-8,3,10,20,5,23,1127
105,Slowpoke,17,-32,5,-20,-35,-67,7452
106,Slowpoke (Galarian Slowpoke),17,-32,5,-20,-35,-67,7452
107,Slowbro,22,-22,50,40,5,-52,7797
108,Slowbro (Mega Slowbro),22,-22,120,70,5,-52,22997
109,Slowbro (Galarian Slowbro),22,3,35,40,-5,-52,6047
110,Magnemite,-48,-62,10,35,-20,-37,9242
111,Magneton,-23,-37,35,60,-5,-12,6892
112,Farfetch'd,-21,-7,-5,-2,-13,-22,1172
