Eric Edwards vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-28,-59,-54,-9,-35,-59,11968
1,Ivysaur,-13,-46,-40,6,-20,-44,6257
2,Venusaur,7,-26,-20,26,0,-24,2377
3,Venusaur (Mega Venusaur),7,-8,20,48,20,-24,3793
4,Charmander,-34,-56,-60,-14,-50,-39,12109
5,Charmeleon,-15,-44,-45,6,-35,-24,6023
6,Charizard,5,-24,-25,35,-15,-4,2692
7,Charizard (Mega Charizard X),5,22,8,56,-15,-4,3950
8,Charizard (Mega Charizard Y),5,-4,-25,85,15,-4,8132
9,Squirtle,-29,-60,-38,-24,-36,-61,11478
10,Wartortle,-14,-45,-23,-9,-20,-46,5347
11,Blastoise,6,-25,-3,11,5,-26,1492
12,Blastoise (Mega Blastoise),6,-5,17,61,15,-26,4972
13,Caterpie,-28,-78,-68,-54,-80,-59,24289
14,Metapod,-23,-88,-48,-49,-75,-74,24079
15,Butterfree,-13,-63,-53,16,-20,-34,8759
16,Weedle,-33,-73,-73,-54,-80,-54,23979
17,Kakuna,-28,-83,-53,-49,-75,-69,23269
18,Beedrill,-8,-18,-63,-29,-20,-29,6439
19,Beedrill (Mega Beedrill),-8,42,-63,-59,-20,41,11359
20,Pidgey,-33,-63,-63,-39,-65,-48,17077
21,Pidgeotto,-10,-48,-48,-24,-50,-33,8873
22,Pidgeot,10,-28,-28,-4,-30,-3,2593
23,Pidgeot (Mega Pidgeot),10,-28,-23,61,-20,17,5823
24,Rattata,-43,-52,-68,-49,-65,-32,16827
25,Rattata (Alolan Rattata),-43,-52,-68,-49,-65,-32,16827
26,Raticate,-18,-27,-43,-24,-30,-7,4427
27,Raticate (Alolan Raticate),2,-37,-33,-34,-20,-27,4747
28,Spearow,-33,-48,-73,-43,-69,-34,16488
29,Fearow,-8,-18,-38,-13,-39,-4,3538
30,Ekans,-38,-48,-59,-34,-46,-49,12902
31,Arbok,-13,-13,-34,-9,-21,-24,2592
