Evan Sooklal vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-42,-39,-11,0,-16,-46,5778
1,Ivysaur,-27,-26,3,15,-1,-31,2601
2,Venusaur,-7,-6,23,35,19,-11,2321
3,Venusaur (Mega Venusaur),-7,12,63,57,39,-11,9053
4,Charmander,-48,-36,-17,-5,-31,-26,5551
5,Charmeleon,-29,-24,-2,15,-16,-11,2023
6,Charizard,-9,-4,18,44,4,9,2454
7,Charizard (Mega Charizard X),-9,42,51,65,4,9,8768
8,Charizard (Mega Charizard Y),-9,16,18,94,34,9,10734
9,Squirtle,-43,-40,5,-15,-17,-48,6292
10,Wartortle,-28,-25,20,0,-1,-33,2899
11,Blastoise,-8,-5,40,20,24,-13,2834
12,Blastoise (Mega Blastoise),-8,15,60,70,34,-13,10114
13,Caterpie,-42,-58,-25,-45,-61,-46,13615
14,Metapod,-37,-68,-5,-40,-56,-61,14475
15,Butterfree,-27,-43,-10,25,-1,-21,3745
16,Weedle,-47,-53,-30,-45,-61,-41,13345
17,Kakuna,-42,-63,-10,-40,-56,-56,13705
18,Beedrill,-22,2,-20,-20,-1,-16,1545
19,Beedrill (Mega Beedrill),-22,62,-20,-50,-1,54,10145
20,Pidgey,-47,-43,-20,-30,-46,-35,8699
21,Pidgeotto,-24,-28,-5,-15,-31,-20,2971
22,Pidgeot,-4,-8,15,5,-11,10,551
23,Pidgeot (Mega Pidgeot),-4,-8,20,70,-1,30,6281
24,Rattata,-57,-32,-25,-40,-46,-19,8975
25,Rattata (Alolan Rattata),-57,-32,-25,-40,-46,-19,8975
26,Raticate,-32,-7,0,-15,-11,6,1455
27,Raticate (Alolan Raticate),-12,-17,10,-25,-1,-14,1355
28,Spearow,-47,-28,-30,-34,-50,-21,7990
29,Fearow,-22,2,5,-4,-20,9,1010
30,Ekans,-52,-28,-16,-25,-27,-36,6394
31,Arbok,-27,7,9,0,-2,-11,984
32,Pikachu,-52,-33,-20,-15,-31,-1,5380
33,Pikachu (Partner Pikachu),-42,-8,-10,10,-21,29,3310
34,Raichu,-27,2,-5,25,-1,19,1745
35,Raichu (Alolan Raichu),-27,-3,-10,30,4,19,2115
36,Sandshrew,-37,-13,25,-45,-51,-51,9390
37,Sandshrew (Alolan Sandshrew),-37,-13,30,-55,-46,-51,10180
