Jack Massingill vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-37,-59,-52,-47,-41,-52,14148
1,Ivysaur,-22,-46,-38,-32,-26,-37,7113
2,Venusaur,-2,-26,-18,-12,-6,-17,1473
3,Venusaur (Mega Venusaur),-2,-8,22,10,14,-17,1137
4,Charmander,-43,-56,-58,-52,-56,-32,15213
5,Charmeleon,-24,-44,-43,-32,-41,-17,7355
6,Charizard,-4,-24,-23,-3,-21,3,1580
7,Charizard (Mega Charizard X),-4,22,10,18,-21,3,1374
8,Charizard (Mega Charizard Y),-4,-4,-23,47,9,3,2860
9,Squirtle,-38,-60,-36,-62,-42,-54,14864
10,Wartortle,-23,-45,-21,-47,-26,-39,7401
11,Blastoise,-3,-25,-1,-27,-1,-19,1726
12,Blastoise (Mega Blastoise),-3,-5,19,23,9,-19,1366
13,Caterpie,-37,-78,-66,-92,-86,-52,30373
14,Metapod,-32,-88,-46,-87,-81,-67,29503
15,Butterfree,-22,-63,-51,-22,-26,-27,8943
16,Weedle,-42,-73,-71,-92,-86,-47,30203
17,Kakuna,-37,-83,-51,-87,-81,-62,28833
18,Beedrill,-17,-18,-61,-67,-26,-22,9983
19,Beedrill (Mega Beedrill),-17,42,-61,-97,-26,48,18163
20,Pidgey,-42,-63,-61,-77,-71,-41,22105
21,Pidgeotto,-19,-48,-46,-62,-56,-26,12437
22,Pidgeot,1,-28,-26,-42,-36,4,4537
23,Pidgeot (Mega Pidgeot),1,-28,-21,23,-26,24,3007
24,Rattata,-52,-52,-66,-87,-71,-25,22999
25,Rattata (Alolan Rattata),-52,-52,-66,-87,-71,-25,22999
26,Raticate,-27,-27,-41,-62,-36,0,8279
27,Raticate (Alolan Raticate),-7,-37,-31,-72,-26,-20,8639
28,Spearow,-42,-48,-71,-81,-75,-27,22024
29,Fearow,-17,-18,-36,-51,-45,3,6544
30,Ekans,-47,-48,-57,-72,-52,-42,17414
31,Arbok,-22,-13,-32,-47,-27,-17,4904
32,Pikachu,-47,-53,-61,-62,-56,-7,15768
33,Pikachu (Partner Pikachu),-37,-28,-51,-37,-46,23,8768
34,Raichu,-22,-18,-46,-22,-26,13,4253
35,Raichu (Alolan Raichu),-22,-23,-51,-17,-21,13,4513
36,Sandshrew,-32,-33,-16,-92,-76,-57,19858
37,Sandshrew (Alolan Sandshrew),-32,-33,-11,-102,-71,-57,20928
38,Sandslash,-7,-8,9,-67,-51,-32,8308
39,Sandslash (Alolan Sandslash),-7,-8,19,-87,-41,-32,10748
40,Nidoran♀,-27,-61,-49,-72,-66,-56,19527
41,Nidorina,-12,-46,-34,-57,-51,-41,10947
42,Nidoqueen,8,-16,-14,-37,-21,-21,2767
43,Nidoran♂,-36,-51,-61,-72,-66,-47,19367
44,Nidorino,-21,-36,-44,-57,-51,-32,10547
45,Nidoking,-1,-6,-24,-27,-31,-12,2447
46,Clefairy,-12,-63,-53,-52,-41,-62,15151
47,Clefable,13,-38,-28,-17,-16,-37,4311
48,Vulpix,-44,-67,-61,-62,-41,-32,16695
49,Vulpix (Alolan Vulpix),-44,-67,-61,-62,-41,-32,16695
50,Ninetales,-9,-32,-26,-31,-6,3,2787
51,Ninetales (Alolan Ninetales),-9,-41,-26,-31,-6,12,3579
52,Jigglypuff,33,-63,-81,-67,-81,-77,28598
53,Wigglytuff,58,-38,-56,-27,-56,-52,14513
54,Zubat,-42,-63,-66,-82,-66,-42,22933
55,Golbat,-7,-28,-31,-47,-31,-7,5013
56,Oddish,-37,-58,-46,-37,-41,-67,14388
57,Gloom,-22,-43,-31,-27,-31,-57,8233
58,Vileplume,-7,-28,-16,-2,-16,-47,3558
59,Paras,-47,-38,-46,-67,-51,-72,18043
60,Parasect,-22,-13,-21,-52,-26,-67,8963
61,Venonat,-22,-53,-51,-72,-51,-52,16383
62,Venomoth,-12,-43,-41,-22,-31,-7,5168
63,Diglett,-72,-53,-76,-77,-61,-2,23423
64,Diglett (Alolan Diglett),-72,-53,-71,-77,-61,-7,22733
65,Dugtrio,-47,-8,-51,-62,-36,23,10543
66,Dugtrio (Alolan Dugtrio),-47,-8,-41,-62,-36,13,9263
67,Meowth,-42,-63,-66,-72,-66,-7,19678
68,Meowth (Alolan Meowth),-42,-73,-66,-62,-66,-7,19698
69,Meowth (Galarian Meowth),-32,-43,-46,-72,-66,-57,17778
70,Persian,-17,-38,-41,-47,-41,18,7628
71,Persian (Alolan Persian),-17,-48,-41,-37,-41,18,7648
72,Psyduck,-32,-56,-53,-47,-56,-42,14078
73,Golduck,-2,-26,-23,-17,-26,-12,2318
74,Mankey,-42,-28,-66,-77,-61,-27,17283
75,Primeape,-17,-3,-41,-52,-36,-2,5983
76,Growlithe,-27,-38,-56,-42,-56,-37,11578
77,Growlithe (Hisuian Growlithe),-22,-33,-56,-47,-56,-42,11818
78,Arcanine,8,2,-21,-12,-26,-2,1333
79,Arcanine (Hisuian Arcanine),13,7,-21,-17,-26,-7,1673
80,Poliwag,-42,-58,-61,-72,-66,-7,18438
81,Poliwhirl,-17,-43,-36,-62,-56,-7,10463
82,Poliwrath,8,-13,-6,-42,-16,-27,3018
83,Abra,-57,-88,-86,-7,-51,-7,21088
