Julie Jackson vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-44,-48,-36,0,-20,-52,8640
1,Ivysaur,-29,-35,-22,15,-5,-37,4169
2,Venusaur,-9,-15,-2,35,15,-17,2049
3,Venusaur (Mega Venusaur),-9,3,38,57,35,-17,6297
4,Charmander,-50,-45,-42,-5,-35,-32,8563
5,Charmeleon,-31,-33,-27,15,-20,-17,3693
6,Charizard,-11,-13,-7,44,0,3,2284
7,Charizard (Mega Charizard X),-11,33,26,65,0,3,6120
8,Charizard (Mega Charizard Y),-11,7,-7,94,30,3,9964
9,Squirtle,-45,-49,-20,-15,-21,-54,8408
10,Wartortle,-30,-34,-5,0,-5,-39,3627
11,Blastoise,-10,-14,15,20,20,-19,1682
12,Blastoise (Mega Blastoise),-10,6,35,70,30,-19,7522
13,Caterpie,-44,-67,-50,-45,-65,-52,17879
14,Metapod,-39,-77,-30,-40,-60,-67,18039
15,Butterfree,-29,-52,-35,25,-5,-27,6149
16,Weedle,-49,-62,-55,-45,-65,-47,17729
17,Kakuna,-44,-72,-35,-40,-60,-62,17389
18,Beedrill,-24,-7,-45,-20,-5,-22,3559
19,Beedrill (Mega Beedrill),-24,53,-45,-50,-5,48,10239
20,Pidgey,-49,-52,-45,-30,-50,-41,12211
21,Pidgeotto,-26,-37,-30,-15,-35,-26,5071
22,Pidgeot,-6,-17,-10,5,-15,4,691
23,Pidgeot (Mega Pidgeot),-6,-17,-5,70,-5,24,5851
24,Rattata,-59,-41,-50,-40,-50,-25,12387
25,Rattata (Alolan Rattata),-59,-41,-50,-40,-50,-25,12387
26,Raticate,-34,-16,-25,-15,-15,0,2487
27,Raticate (Alolan Raticate),-14,-26,-15,-25,-5,-20,2147
28,Spearow,-49,-37,-55,-34,-54,-27,11596
29,Fearow,-24,-7,-20,-4,-24,3,1626
30,Ekans,-54,-37,-41,-25,-31,-42,9316
31,Arbok,-29,-2,-16,0,-6,-17,1426
32,Pikachu,-54,-42,-45,-15,-35,-7,8204
33,Pikachu (Partner Pikachu),-44,-17,-35,10,-25,23,4704
34,Raichu,-29,-7,-30,25,-5,13,2609
