Kristian Banlaoi vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,5,-62,-11,5,-36,-33,6400
1,Ivysaur,20,-49,3,20,-21,-18,3975
2,Venusaur,40,-29,23,40,-1,2,4575
3,Venusaur (Mega Venusaur),40,-11,63,62,19,2,9899
4,Charmander,-1,-59,-17,0,-51,-13,6541
5,Charmeleon,18,-47,-2,20,-36,2,4237
6,Charizard,38,-27,18,49,-16,22,5638
7,Charizard (Mega Charizard X),38,19,51,70,-16,22,10046
8,Charizard (Mega Charizard Y),38,-7,18,99,14,22,12298
9,Squirtle,4,-63,5,-10,-37,-35,6704
10,Wartortle,19,-48,20,5,-21,-20,3931
11,Blastoise,39,-28,40,25,4,0,4546
12,Blastoise (Mega Blastoise),39,-8,60,75,14,0,11006
13,Caterpie,5,-81,-25,-40,-81,-33,16461
14,Metapod,10,-91,-5,-35,-76,-48,17711
15,Butterfree,20,-66,-10,30,-21,-8,6261
16,Weedle,0,-76,-30,-40,-81,-28,15621
17,Kakuna,5,-86,-10,-35,-76,-43,16371
18,Beedrill,25,-21,-20,-15,-21,-3,2141
19,Beedrill (Mega Beedrill),25,39,-20,-45,-21,67,9501
20,Pidgey,0,-66,-20,-25,-66,-22,10221
21,Pidgeotto,23,-51,-5,-10,-51,-7,5905
22,Pidgeot,43,-31,15,10,-31,23,4625
23,Pidgeot (Mega Pidgeot),43,-31,20,75,-21,43,11125
24,Rattata,-10,-55,-25,-35,-66,-6,9367
25,Rattata (Alolan Rattata),-10,-55,-25,-35,-66,-6,9367
26,Raticate,15,-30,0,-10,-31,19,2547
27,Raticate (Alolan Raticate),35,-40,10,-20,-21,-1,3767
28,Spearow,0,-51,-30,-29,-70,-8,9306
29,Fearow,25,-21,5,1,-40,22,3176
30,Ekans,-5,-51,-16,-20,-47,-23,6020
31,Arbok,20,-16,9,5,-22,2,1250
32,Pikachu,-5,-56,-20,-10,-51,12,6406
33,Pikachu (Partner Pikachu),5,-31,-10,15,-41,42,4756
34,Raichu,20,-21,-5,30,-21,32,3231
35,Raichu (Alolan Raichu),20,-26,-10,35,-16,32,3681
36,Sandshrew,10,-36,25,-40,-71,-38,10106
37,Sandshrew (Alolan Sandshrew),10,-36,30,-50,-66,-38,10596
38,Sandslash,35,-11,50,-15,-46,-13,6356
39,Sandslash (Alolan Sandslash),35,-11,60,-35,-36,-13,7636
40,Nidoran♀,15,-64,-8,-20,-61,-37,9875
41,Nidorina,30,-49,7,-5,-46,-22,5975
42,Nidoqueen,50,-19,27,15,-16,-2,4075
43,Nidoran♂,6,-54,-20,-20,-61,-28,8257
44,Nidorino,21,-39,-3,-5,-46,-13,4281
45,Nidoking,41,-9,17,25,-26,7,3401
46,Clefairy,30,-66,-12,0,-36,-43,8545
47,Clefable,55,-41,13,35,-11,-18,6545
48,Vulpix,-2,-70,-20,-10,-36,-13,6869
49,Vulpix (Alolan Vulpix),-2,-70,-20,-10,-36,-13,6869
50,Ninetales,33,-35,15,21,-1,22,3465
51,Ninetales (Alolan Ninetales),33,-44,15,21,-1,31,4653
52,Jigglypuff,75,-66,-40,-15,-76,-58,20946
53,Wigglytuff,100,-41,-15,25,-51,-33,16221
54,Zubat,0,-66,-25,-30,-61,-23,10131
55,Golbat,35,-31,10,5,-26,12,3131
56,Oddish,5,-61,-5,15,-36,-48,7596
57,Gloom,20,-46,10,25,-26,-38,5361
58,Vileplume,35,-31,25,50,-11,-28,6216
59,Paras,-5,-41,-5,-15,-46,-53,6881
60,Parasect,20,-16,20,0,-21,-48,3801
61,Venonat,20,-56,-10,-20,-46,-33,7241
62,Venomoth,30,-46,0,30,-26,12,4736
63,Diglett,-30,-56,-35,-25,-56,17,9311
64,Diglett (Alolan Diglett),-30,-56,-30,-25,-56,12,8841
65,Dugtrio,-5,-11,-10,-10,-31,42,3071
66,Dugtrio (Alolan Dugtrio),-5,-11,0,-10,-31,32,2231
67,Meowth,0,-66,-25,-20,-61,12,9246
68,Meowth (Alolan Meowth),0,-76,-25,-10,-61,12,10366
69,Meowth (Galarian Meowth),10,-46,-5,-20,-61,-38,7806
70,Persian,25,-41,0,5,-36,37,4996
71,Persian (Alolan Persian),25,-51,0,15,-36,37,6116
72,Psyduck,10,-59,-12,5,-51,-23,6880
73,Golduck,40,-29,18,35,-21,7,4480
74,Mankey,0,-31,-25,-25,-56,-8,5411
75,Primeape,25,-6,0,0,-31,17,1911
76,Growlithe,15,-41,-15,10,-51,-18,5156
77,Growlithe (Hisuian Growlithe),20,-36,-15,5,-51,-23,5076
78,Arcanine,50,-1,20,40,-21,17,5231
79,Arcanine (Hisuian Arcanine),55,4,20,35,-21,12,5251
80,Poliwag,0,-61,-20,-20,-61,12,8386
81,Poliwhirl,25,-46,5,-10,-51,12,5611
82,Poliwrath,50,-16,35,10,-11,-8,4266
83,Abra,-15,-91,-45,45,-46,12,14816
84,Kadabra,0,-76,-30,60,-31,27,11966
85,Alakazam,15,-61,-15,75,-6,42,11596
86,Alakazam (Mega Alakazam),15,-61,5,115,4,72,22396
87,Machop,30,-31,-10,-25,-66,-43,8791
88,Machoke,40,-11,10,-10,-41,-33,4691
89,Machamp,50,19,20,5,-16,-23,4071
90,Bellsprout,10,-36,-25,10,-71,-38,8606
91,Weepinbell,25,-21,-10,25,-56,-23,5456
92,Victreebel,40,-6,5,40,-31,-8,4286
93,Tentacool,0,-71,-25,-10,-1,-8,5831
94,Tentacruel,40,-41,5,20,19,22,4551
95,Geodude,0,-31,40,-30,-71,-58,11866
96,Geodude (Alolan Geodude),0,-31,40,-30,-71,-58,11866
97,Graveler,15,-16,55,-15,-56,-43,8716
98,Graveler (Alolan Graveler),15,-16,55,-15,-56,-43,8716
99,Golem,40,9,70,-5,-36,-33,8991
100,Golem (Alolan Golem),40,9,70,-5,-36,-33,8991
101,Ponyta,10,-26,-5,5,-36,12,2266
102,Ponyta (Galarian Ponyta),10,-26,-5,5,-36,12,2266
103,Rapidash,25,-11,10,20,-21,27,2416
104,Rapidash (Galarian Rapidash),25,-11,10,20,-21,27,2416
105,Slowpoke,50,-46,5,-20,-61,-63,12731
106,Slowpoke (Galarian Slowpoke),50,-46,5,-20,-61,-63,12731
107,Slowbro,55,-36,50,40,-21,-48,11166
108,Slowbro (Mega Slowbro),55,-36,120,70,-21,-48,26366
109,Slowbro (Galarian Slowbro),55,-11,35,40,-31,-48,9236
110,Magnemite,-15,-76,10,35,-46,-33,10531
111,Magneton,10,-51,35,60,-31,-8,8551
112,Farfetch'd,12,-21,-5,-2,-39,-18,2459
113,Farfetch'd (Galarian Farfetch'd),12,-16,-5,-2,-39,-23,2479
114,Doduo,-5,-26,-15,-25,-66,-3,5916
115,Dodrio,20,-1,10,0,-41,32,3206
116,Seel,25,-66,-5,-15,-31,-33,7281
117,Dewgong,50,-41,20,10,-6,-8,4781
118,Grimer,40,-31,-10,-20,-51,-53,8471
119,Grimer (Alolan Grimer),40,-31,-10,-20,-51,-53,8471
120,Muk,65,-6,15,5,-1,-28,5296
121,Muk (Alolan Muk),65,-6,15,5,-1,-28,5296
122,Shellder,-10,-46,40,-15,-76,-38,11261
123,Cloyster,10,-16,120,25,-56,-8,18581
124,Gastly,-10,-76,-30,40,-66,2,12736
125,Haunter,5,-61,-15,55,-46,17,9401
126,Gengar,20,-46,0,70,-26,32,9116
127,Gengar (Mega Gengar),20,-46,20,110,-6,52,17756
128,Onix,-5,-66,100,-30,-56,-8,18481
129,Drowzee,20,-63,-15,-17,-11,-36,6300
130,Hypno,45,-38,10,13,14,-11,4055
131,Krabby,-10,-6,30,-35,-76,-28,8821
132,Kingler,15,19,55,-10,-51,-3,6321
133,Voltorb,0,-81,-10,-5,-46,22,9286
134,Voltorb (Hisuian Voltorb),0,-81,-10,-5,-46,22,9286
135,Electrode,20,-61,10,20,-21,72,10246
136,Electrode (Hisuian Electrode),20,-61,10,20,-21,72,10246
137,Exeggcute,20,-71,20,0,-56,-38,10421
138,Exeggutor,55,-16,25,65,-26,-23,9336
139,Exeggutor (Alolan Exeggutor),55,-6,25,65,-26,-33,9676
140,Cubone,10,-61,35,-20,-51,-43,9896
141,Marowak,20,-31,50,-10,-21,-33,5491
142,Marowak (Alolan Marowak),20,-31,50,-10,-21,-33,5491
143,Hitmonlee,10,9,-7,-25,9,9,1017
144,Hitmonchan,10,-6,19,-25,9,-2,1207
145,Lickitung,50,-56,15,0,-26,-48,8841
146,Koffing,0,-46,35,0,-56,-43,8326
147,Weezing,25,-21,60,25,-31,-18,6576
148,Weezing (Galarian Weezing),25,-21,60,25,-31,-18,6576
149,Rhyhorn,40,-26,35,-30,-71,-53,12251
150,Rhydon,65,19,60,-15,-56,-38,12991
151,Chansey,210,-106,-55,-25,4,-28,59786
152,Tangela,25,-56,55,40,-61,-18,12431
153,Kangaskhan,65,-16,20,-20,-21,12,5866
154,Kangaskhan (Mega Kangaskhan),65,14,40,0,-1,22,6506
155,Horsea,-10,-71,10,10,-76,-18,11441
156,Seadra,15,-46,35,35,-56,7,7976
157,Goldeen,5,-44,0,-25,-51,-15,5412
158,Seaking,40,-19,5,5,-21,-10,2552
159,Staryu,-10,-66,-5,10,-46,7,6746
160,Starmie,20,-36,25,40,-16,37,5546
161,Mr. Mime,0,-66,5,40,19,12,6486
162,Mr. Mime (Galarian Mr. Mime),10,-46,5,30,-11,22,3746
163,Scyther,30,-1,20,-5,-21,27,2496
164,Jynx,25,-61,-25,55,-6,17,8321
165,Electabuzz,25,-28,-3,35,-16,27,3628
166,Magmar,25,-16,-3,40,-16,15,2971
167,Pinsir,25,14,40,-5,-31,7,3456
168,Pinsir (Mega Pinsir),25,44,60,5,-11,27,7036
169,Tauros,35,-11,35,-20,-31,32,4956
170,Tauros (Paldean Tauros (Combat Breed)),35,-1,45,-30,-31,22,5596
171,Tauros (Paldean Tauros (Blaze Breed)),35,-1,45,-30,-31,22,5596
172,Tauros (Paldean Tauros (Aqua Breed)),35,-1,45,-30,-31,22,5596
173,Magikarp,-20,-101,-5,-45,-81,2,19216
174,Gyarados,55,14,19,0,-1,3,3592
175,Gyarados (Mega Gyarados),55,44,49,10,29,3,8312
176,Lapras,90,-26,20,25,-6,-18,10161
177,Ditto,8,-63,-12,-12,-53,-30,8030
178,Eevee,15,-56,-10,-15,-36,-23,5511
179,Eevee (Partner Eevee),25,-36,10,5,-16,-3,2311
180,Vaporeon,90,-46,0,50,-6,-13,12921
181,Jolteon,25,-46,0,50,-6,52,7981
182,Flareon,25,19,0,35,9,-13,2461
183,Porygon,25,-51,10,25,-26,-38,6071
184,Omanyte,-5,-71,40,30,-46,-43,11531
185,Omastar,30,-51,65,55,-31,-23,12241
