Levin Lee vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-34,-71,-60,-39,-42,5,13107
1,Ivysaur,-19,-58,-46,-24,-27,20,7546
2,Venusaur,1,-38,-26,-4,-7,40,3786
3,Venusaur (Mega Venusaur),1,-20,14,18,13,40,2690
4,Charmander,-40,-68,-66,-44,-57,25,16390
5,Charmeleon,-21,-56,-51,-24,-42,40,10118
6,Charizard,-1,-36,-31,5,-22,60,6367
7,Charizard (Mega Charizard X),-1,10,2,26,-22,60,4865
8,Charizard (Mega Charizard Y),-1,-16,-31,55,8,60,7907
9,Squirtle,-35,-72,-44,-54,-43,3,13119
10,Wartortle,-20,-57,-29,-39,-27,18,7064
11,Blastoise,0,-37,-9,-19,-2,38,3259
12,Blastoise (Mega Blastoise),0,-17,11,31,8,38,2879
13,Caterpie,-34,-90,-74,-84,-87,5,29382
14,Metapod,-29,-100,-54,-79,-82,-10,26822
15,Butterfree,-19,-75,-59,-14,-27,30,11292
16,Weedle,-39,-85,-79,-84,-87,10,29712
17,Kakuna,-34,-95,-59,-79,-82,-5,26652
18,Beedrill,-14,-30,-69,-59,-27,35,11292
19,Beedrill (Mega Beedrill),-14,30,-69,-89,-27,105,25532
20,Pidgey,-39,-75,-69,-69,-72,16,22108
21,Pidgeotto,-16,-60,-54,-54,-57,31,13898
22,Pidgeot,4,-40,-34,-34,-37,61,9018
23,Pidgeot (Mega Pidgeot),4,-40,-29,31,-27,81,10708
24,Rattata,-49,-64,-74,-79,-72,32,24422
25,Rattata (Alolan Rattata),-49,-64,-74,-79,-72,32,24422
26,Raticate,-24,-39,-49,-54,-37,57,12032
27,Raticate (Alolan Raticate),-4,-49,-39,-64,-27,37,10132
28,Spearow,-39,-60,-79,-73,-76,30,23367
29,Fearow,-14,-30,-44,-43,-46,60,10597
30,Ekans,-44,-60,-65,-64,-53,15,16891
31,Arbok,-19,-25,-40,-39,-28,40,6491
32,Pikachu,-44,-65,-69,-54,-57,50,19587
33,Pikachu (Partner Pikachu),-34,-40,-59,-29,-47,80,15687
34,Raichu,-19,-30,-54,-14,-27,70,10002
35,Raichu (Alolan Raichu),-19,-35,-59,-9,-22,70,10532
36,Sandshrew,-29,-45,-24,-84,-77,0,16427
37,Sandshrew (Alolan Sandshrew),-29,-45,-19,-94,-72,0,17247
38,Sandslash,-4,-20,1,-59,-52,25,7227
