Luke Woods vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-23,-62,-66,-5,-42,-60,14118
1,Ivysaur,-8,-49,-52,10,-27,-45,8023
2,Venusaur,12,-29,-32,30,-7,-25,3583
3,Venusaur (Mega Venusaur),12,-11,8,52,13,-25,3827
4,Charmander,-29,-59,-72,-10,-57,-40,14455
5,Charmeleon,-10,-47,-57,10,-42,-25,8047
6,Charizard,10,-27,-37,39,-22,-5,4228
7,Charizard (Mega Charizard X),10,19,-4,60,-22,-5,4586
8,Charizard (Mega Charizard Y),10,-7,-37,89,8,-5,9528
9,Squirtle,-24,-63,-50,-20,-43,-62,13138
10,Wartortle,-9,-48,-35,-5,-27,-47,6573
11,Blastoise,11,-28,-15,15,-2,-27,2088
12,Blastoise (Mega Blastoise),11,-8,5,65,8,-27,5228
13,Caterpie,-23,-81,-80,-50,-87,-60,27159
14,Metapod,-18,-91,-60,-45,-82,-75,26579
15,Butterfree,-8,-66,-65,20,-27,-35,10999
16,Weedle,-28,-76,-85,-50,-87,-55,26879
17,Kakuna,-23,-86,-65,-45,-82,-70,25799
18,Beedrill,-3,-21,-75,-25,-27,-30,8329
19,Beedrill (Mega Beedrill),-3,39,-75,-55,-27,40,12509
20,Pidgey,-28,-66,-75,-35,-72,-49,19575
21,Pidgeotto,-5,-51,-60,-20,-57,-34,11031
22,Pidgeot,15,-31,-40,0,-37,-4,4171
23,Pidgeot (Mega Pidgeot),15,-31,-35,65,-27,16,7621
24,Rattata,-38,-55,-80,-45,-72,-33,19167
25,Rattata (Alolan Rattata),-38,-55,-80,-45,-72,-33,19167
26,Raticate,-13,-30,-55,-20,-37,-8,5927
27,Raticate (Alolan Raticate),7,-40,-45,-30,-27,-28,6087
28,Spearow,-28,-51,-85,-39,-76,-35,19132
29,Fearow,-3,-21,-50,-9,-46,-5,5172
30,Ekans,-33,-51,-71,-30,-53,-50,14940
31,Arbok,-8,-16,-46,-5,-28,-25,3870
32,Pikachu,-33,-56,-75,-20,-57,-15,13724
33,Pikachu (Partner Pikachu),-23,-31,-65,5,-47,15,8174
34,Raichu,-8,-21,-60,20,-27,5,5259
35,Raichu (Alolan Raichu),-8,-26,-65,25,-22,5,6099
36,Sandshrew,-18,-36,-30,-50,-77,-65,15174
37,Sandshrew (Alolan Sandshrew),-18,-36,-25,-60,-72,-65,15254
38,Sandslash,7,-11,-5,-25,-52,-40,5124
39,Sandslash (Alolan Sandslash),7,-11,5,-45,-42,-40,5584
40,Nidoran♀,-13,-64,-63,-30,-67,-64,17719
41,Nidorina,2,-49,-48,-15,-52,-49,10039
42,Nidoqueen,22,-19,-28,5,-22,-29,2979
43,Nidoran♂,-22,-54,-75,-30,-67,-55,17439
44,Nidorino,-7,-39,-58,-15,-52,-40,9463
45,Nidoking,13,-9,-38,15,-32,-20,3343
46,Clefairy,2,-66,-67,-10,-42,-70,15613
47,Clefable,27,-41,-42,25,-17,-45,7113
48,Vulpix,-30,-70,-75,-20,-42,-40,15189
49,Vulpix (Alolan Vulpix),-30,-70,-75,-20,-42,-40,15189
50,Ninetales,5,-35,-40,11,-7,-5,3045
51,Ninetales (Alolan Ninetales),5,-44,-40,11,-7,4,3747
52,Jigglypuff,47,-66,-95,-25,-82,-85,30164
53,Wigglytuff,72,-41,-70,15,-57,-60,18839
54,Zubat,-28,-66,-80,-40,-67,-50,20129
55,Golbat,7,-31,-45,-5,-32,-15,4309
56,Oddish,-23,-61,-60,5,-42,-75,15264
57,Gloom,-8,-46,-45,15,-32,-65,9679
58,Vileplume,7,-31,-30,40,-17,-55,6824
59,Paras,-33,-41,-60,-25,-52,-80,16099
60,Parasect,-8,-16,-35,-10,-27,-75,7999
61,Venonat,-8,-56,-65,-30,-52,-60,14629
62,Venomoth,2,-46,-55,20,-32,-15,6794
63,Diglett,-58,-56,-90,-35,-62,-10,19769
64,Diglett (Alolan Diglett),-58,-56,-85,-35,-62,-15,19019
65,Dugtrio,-33,-11,-65,-20,-37,15,7429
66,Dugtrio (Alolan Dugtrio),-33,-11,-55,-20,-37,5,6029
67,Meowth,-28,-66,-80,-30,-67,-15,17154
68,Meowth (Alolan Meowth),-28,-76,-80,-20,-67,-15,18074
69,Meowth (Galarian Meowth),-18,-46,-60,-30,-67,-65,15654
70,Persian,-3,-41,-55,-5,-42,10,6604
71,Persian (Alolan Persian),-3,-51,-55,5,-42,10,7524
72,Psyduck,-18,-59,-67,-5,-57,-50,14068
73,Golduck,12,-29,-37,25,-27,-20,4108
74,Mankey,-28,-31,-80,-35,-62,-35,14439
75,Primeape,-3,-6,-55,-10,-37,-10,4639
76,Growlithe,-13,-41,-70,0,-57,-45,12024
77,Growlithe (Hisuian Growlithe),-8,-36,-70,-5,-57,-50,12034
78,Arcanine,22,-1,-35,30,-27,-10,3439
79,Arcanine (Hisuian Arcanine),27,4,-35,25,-27,-15,3549
80,Poliwag,-28,-61,-75,-30,-67,-15,15744
81,Poliwhirl,-3,-46,-50,-20,-57,-15,8499
82,Poliwrath,22,-16,-20,0,-17,-35,2654
83,Abra,-43,-91,-100,35,-52,-15,24284
84,Kadabra,-28,-76,-85,50,-37,0,17654
85,Alakazam,-13,-61,-70,65,-12,15,13384
86,Alakazam (Mega Alakazam),-13,-61,-50,105,-2,45,19444
87,Machop,2,-31,-65,-35,-72,-70,16499
88,Machoke,12,-11,-45,-20,-47,-60,8499
89,Machamp,22,19,-35,-5,-22,-50,5079
90,Bellsprout,-18,-36,-80,0,-77,-65,18174
91,Weepinbell,-3,-21,-65,15,-62,-50,11244
92,Victreebel,12,-6,-50,30,-37,-35,6174
93,Tentacool,-28,-71,-80,-20,-7,-35,13899
94,Tentacruel,12,-41,-50,10,13,-5,4619
95,Geodude,-28,-31,-15,-40,-77,-85,16724
96,Geodude (Alolan Geodude),-28,-31,-15,-40,-77,-85,16724
97,Graveler,-13,-16,0,-25,-62,-70,9794
98,Graveler (Alolan Graveler),-13,-16,0,-25,-62,-70,9794
99,Golem,12,9,15,-15,-42,-60,6039
100,Golem (Alolan Golem),12,9,15,-15,-42,-60,6039
101,Ponyta,-18,-26,-60,-5,-42,-15,6614
102,Ponyta (Galarian Ponyta),-18,-26,-60,-5,-42,-15,6614
103,Rapidash,-3,-11,-45,10,-27,0,2984
104,Rapidash (Galarian Rapidash),-3,-11,-45,10,-27,0,2984
105,Slowpoke,22,-46,-50,-30,-67,-90,18589
106,Slowpoke (Galarian Slowpoke),22,-46,-50,-30,-67,-90,18589
107,Slowbro,27,-36,-5,30,-27,-75,9304
108,Slowbro (Mega Slowbro),27,-36,65,60,-27,-75,16204
109,Slowbro (Galarian Slowbro),27,-11,-20,30,-37,-75,9144
110,Magnemite,-43,-76,-45,25,-52,-60,16579
111,Magneton,-18,-51,-20,50,-37,-35,8419
112,Farfetch'd,-16,-21,-60,-12,-45,-45,8491
113,Farfetch'd (Galarian Farfetch'd),-16,-16,-60,-12,-45,-50,8781
114,Doduo,-33,-26,-70,-35,-72,-30,13974
115,Dodrio,-8,-1,-45,-10,-47,5,4424
116,Seel,-3,-66,-60,-25,-37,-60,13559
117,Dewgong,22,-41,-35,0,-12,-35,4759
118,Grimer,12,-31,-65,-30,-57,-80,15879
119,Grimer (Alolan Grimer),12,-31,-65,-30,-57,-80,15879
120,Muk,37,-6,-40,-5,-7,-55,6104
121,Muk (Alolan Muk),37,-6,-40,-5,-7,-55,6104
122,Shellder,-38,-46,-15,-25,-82,-65,15359
123,Cloyster,-18,-16,65,15,-62,-35,10099
124,Gastly,-38,-76,-85,30,-72,-25,21154
125,Haunter,-23,-61,-70,45,-52,-10,13979
126,Gengar,-8,-46,-55,60,-32,5,9854
127,Gengar (Mega Gengar),-8,-46,-35,100,-12,25,14174
128,Onix,-33,-66,45,-40,-62,-35,14139
