Matthew Kish vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-36,-58,-55,-5,-37,-58,12443
1,Ivysaur,-21,-45,-41,10,-22,-43,6580
2,Venusaur,-1,-25,-21,30,-2,-23,2500
3,Venusaur (Mega Venusaur),-1,-7,19,52,18,-23,3968
4,Charmander,-42,-55,-61,-10,-52,-38,12758
5,Charmeleon,-23,-43,-46,10,-37,-23,6492
6,Charizard,-3,-23,-26,39,-17,-3,3033
7,Charizard (Mega Charizard X),-3,23,7,60,-17,-3,4485
8,Charizard (Mega Charizard Y),-3,-3,-26,89,13,-3,8793
9,Squirtle,-37,-59,-39,-20,-38,-60,11815
10,Wartortle,-22,-44,-24,-5,-22,-45,5530
11,Blastoise,-2,-24,-4,15,3,-25,1455
12,Blastoise (Mega Blastoise),-2,-4,16,65,13,-25,5295
13,Caterpie,-36,-77,-69,-50,-82,-58,24574
14,Metapod,-31,-87,-49,-45,-77,-73,24214
15,Butterfree,-21,-62,-54,20,-22,-33,9174
16,Weedle,-41,-72,-74,-50,-82,-53,24374
17,Kakuna,-36,-82,-54,-45,-77,-68,23514
18,Beedrill,-16,-17,-64,-25,-22,-28,6534
19,Beedrill (Mega Beedrill),-16,43,-64,-55,-22,42,11474
20,Pidgey,-41,-62,-64,-35,-67,-47,17544
21,Pidgeotto,-18,-47,-49,-20,-52,-32,9062
22,Pidgeot,2,-27,-29,0,-32,-2,2602
23,Pidgeot (Mega Pidgeot),2,-27,-24,65,-22,18,6342
24,Rattata,-51,-51,-69,-45,-67,-31,17438
25,Rattata (Alolan Rattata),-51,-51,-69,-45,-67,-31,17438
26,Raticate,-26,-26,-44,-20,-32,-6,4748
27,Raticate (Alolan Raticate),-6,-36,-34,-30,-22,-26,4548
28,Spearow,-41,-47,-74,-39,-71,-33,17017
29,Fearow,-16,-17,-39,-9,-41,-3,3837
30,Ekans,-46,-47,-60,-30,-48,-48,13433
31,Arbok,-21,-12,-35,-5,-23,-23,2893
32,Pikachu,-46,-52,-64,-20,-52,-13,12189
33,Pikachu (Partner Pikachu),-36,-27,-54,5,-42,17,7019
34,Raichu,-21,-17,-49,20,-22,7,4064
35,Raichu (Alolan Raichu),-21,-22,-54,25,-17,7,4804
36,Sandshrew,-31,-32,-19,-50,-72,-63,13999
37,Sandshrew (Alolan Sandshrew),-31,-32,-14,-60,-67,-63,14239
38,Sandslash,-6,-7,6,-25,-47,-38,4399
39,Sandslash (Alolan Sandslash),-6,-7,16,-45,-37,-38,5179
40,Nidoran♀,-26,-60,-52,-30,-62,-62,15568
41,Nidorina,-11,-45,-37,-15,-47,-47,8158
42,Nidoqueen,9,-15,-17,5,-17,-27,1638
43,Nidoran♂,-35,-50,-64,-30,-62,-53,15374
44,Nidorino,-20,-35,-47,-15,-47,-38,7712
45,Nidoking,0,-5,-27,15,-27,-18,2032
46,Clefairy,-11,-62,-56,-10,-37,-68,13194
47,Clefable,14,-37,-31,25,-12,-43,5144
48,Vulpix,-43,-66,-64,-20,-37,-38,13514
49,Vulpix (Alolan Vulpix),-43,-66,-64,-20,-37,-38,13514
50,Ninetales,-8,-31,-29,11,-2,-3,2000
51,Ninetales (Alolan Ninetales),-8,-40,-29,11,-2,6,2666
52,Jigglypuff,34,-62,-84,-25,-77,-83,25499
53,Wigglytuff,59,-37,-59,15,-52,-58,14624
54,Zubat,-41,-62,-69,-40,-62,-48,18034
55,Golbat,-6,-27,-34,-5,-27,-13,2844
56,Oddish,-36,-57,-49,5,-37,-73,13669
57,Gloom,-21,-42,-34,15,-27,-63,8284
58,Vileplume,-6,-27,-19,40,-12,-53,5679
59,Paras,-46,-37,-49,-25,-47,-78,14804
60,Parasect,-21,-12,-24,-10,-22,-73,7074
61,Venonat,-21,-52,-54,-30,-47,-58,12534
62,Venomoth,-11,-42,-44,20,-27,-13,5119
63,Diglett,-71,-52,-79,-35,-57,-8,18524
64,Diglett (Alolan Diglett),-71,-52,-74,-35,-57,-13,17864
65,Dugtrio,-46,-7,-54,-20,-32,17,6794
66,Dugtrio (Alolan Dugtrio),-46,-7,-44,-20,-32,7,5574
67,Meowth,-41,-62,-69,-30,-62,-13,15199
68,Meowth (Alolan Meowth),-41,-72,-69,-20,-62,-13,16039
69,Meowth (Galarian Meowth),-31,-42,-49,-30,-62,-63,13839
70,Persian,-16,-37,-44,-5,-37,12,5099
71,Persian (Alolan Persian),-16,-47,-44,5,-37,12,5939
72,Psyduck,-31,-55,-56,-5,-52,-48,12155
73,Golduck,-1,-25,-26,25,-22,-18,2735
74,Mankey,-41,-27,-69,-35,-57,-33,12734
75,Primeape,-16,-2,-44,-10,-32,-8,3384
76,Growlithe,-26,-37,-59,0,-52,-43,10079
77,Growlithe (Hisuian Growlithe),-21,-32,-59,-5,-52,-48,9979
78,Arcanine,9,3,-24,30,-22,-8,2114
79,Arcanine (Hisuian Arcanine),14,8,-24,25,-22,-13,2114
80,Poliwag,-41,-57,-64,-30,-62,-13,13939
81,Poliwhirl,-16,-42,-39,-20,-52,-13,6814
82,Poliwrath,9,-12,-9,0,-12,-33,1539
83,Abra,-56,-87,-89,35,-47,-13,22229
84,Kadabra,-41,-72,-74,50,-32,2,15869
85,Alakazam,-26,-57,-59,65,-7,17,11969
86,Alakazam (Mega Alakazam),-26,-57,-39,105,3,47,18689
87,Machop,-11,-27,-54,-35,-67,-68,14104
88,Machoke,-1,-7,-34,-20,-42,-58,6734
89,Machamp,9,23,-24,-5,-17,-48,3804
90,Bellsprout,-31,-32,-69,0,-72,-63,15899
91,Weepinbell,-16,-17,-54,15,-57,-48,9239
