Matthew Rusten vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-30,-43,-11,2,-6,-55,5935
1,Ivysaur,-15,-30,3,17,9,-40,3104
2,Venusaur,5,-10,23,37,29,-20,3264
3,Venusaur (Mega Venusaur),5,8,63,59,49,-20,10340
4,Charmander,-36,-40,-17,-3,-21,-35,4860
5,Charmeleon,-17,-28,-2,17,-6,-20,1802
6,Charizard,3,-8,18,46,14,0,2709
7,Charizard (Mega Charizard X),3,38,51,67,14,0,8739
8,Charizard (Mega Charizard Y),3,12,18,96,44,0,11629
9,Squirtle,-31,-44,5,-13,-7,-57,6389
10,Wartortle,-16,-29,20,2,9,-42,3346
11,Blastoise,4,-9,40,22,34,-22,3821
12,Blastoise (Mega Blastoise),4,11,60,72,44,-22,11341
13,Caterpie,-30,-62,-25,-43,-51,-55,12844
14,Metapod,-25,-72,-5,-38,-46,-70,14294
15,Butterfree,-15,-47,-10,27,9,-30,4244
16,Weedle,-35,-57,-30,-43,-51,-50,12324
17,Kakuna,-30,-67,-10,-38,-46,-65,13274
18,Beedrill,-10,-2,-20,-18,9,-25,1534
19,Beedrill (Mega Beedrill),-10,58,-20,-48,9,45,8274
20,Pidgey,-35,-47,-20,-28,-36,-44,7850
21,Pidgeotto,-12,-32,-5,-13,-21,-29,2644
22,Pidgeot,8,-12,15,7,-1,1,484
23,Pidgeot (Mega Pidgeot),8,-12,20,72,9,21,6314
24,Rattata,-45,-36,-25,-38,-36,-28,7470
25,Rattata (Alolan Rattata),-45,-36,-25,-38,-36,-28,7470
26,Raticate,-20,-11,0,-13,-1,-3,700
27,Raticate (Alolan Raticate),0,-21,10,-23,9,-23,1680
28,Spearow,-35,-32,-30,-32,-40,-30,6673
29,Fearow,-10,-2,5,-2,-10,0,233
30,Ekans,-40,-32,-16,-23,-17,-45,5723
31,Arbok,-15,3,9,2,8,-20,783
32,Pikachu,-40,-37,-20,-13,-21,-10,4079
33,Pikachu (Partner Pikachu),-30,-12,-10,12,-11,20,1809
34,Raichu,-15,-2,-5,27,9,10,1164
35,Raichu (Alolan Raichu),-15,-7,-10,32,14,10,1694
36,Sandshrew,-25,-17,25,-43,-41,-60,8669
37,Sandshrew (Alolan Sandshrew),-25,-17,30,-53,-36,-60,9519
38,Sandslash,0,8,50,-18,-16,-35,4369
39,Sandslash (Alolan Sandslash),0,8,60,-38,-6,-35,6369
40,Nidoran♀,-20,-45,-8,-23,-31,-59,7460
41,Nidorina,-5,-30,7,-8,-16,-44,3230
42,Nidoqueen,15,0,27,12,14,-24,1870
43,Nidoran♂,-29,-35,-20,-23,-31,-50,6456
44,Nidorino,-14,-20,-3,-8,-16,-35,2150
45,Nidoking,6,10,17,22,4,-15,1150
46,Clefairy,-5,-47,-12,-3,-6,-65,6648
47,Clefable,20,-22,13,32,19,-40,4038
48,Vulpix,-37,-51,-20,-13,-6,-35,5800
49,Vulpix (Alolan Vulpix),-37,-51,-20,-13,-6,-35,5800
50,Ninetales,-2,-16,15,18,29,0,1650
51,Ninetales (Alolan Ninetales),-2,-25,15,18,29,9,2100
52,Jigglypuff,40,-47,-40,-18,-46,-80,14249
53,Wigglytuff,65,-22,-15,22,-21,-55,8884
54,Zubat,-35,-47,-25,-33,-31,-45,8134
55,Golbat,0,-12,10,2,4,-10,364
56,Oddish,-30,-42,-5,12,-6,-70,7769
57,Gloom,-15,-27,10,22,4,-60,5154
58,Vileplume,0,-12,25,47,19,-50,5839
59,Paras,-40,-22,-5,-18,-16,-75,8314
60,Parasect,-15,3,20,-3,9,-70,5624
61,Venonat,-15,-37,-10,-23,-16,-55,5504
62,Venomoth,-5,-27,0,27,4,-10,1599
63,Diglett,-65,-37,-35,-28,-26,-5,8304
64,Diglett (Alolan Diglett),-65,-37,-30,-28,-26,-10,8054
65,Dugtrio,-40,8,-10,-13,-1,20,2334
66,Dugtrio (Alolan Dugtrio),-40,8,0,-13,-1,10,1934
67,Meowth,-35,-47,-25,-23,-31,-10,5649
68,Meowth (Alolan Meowth),-35,-57,-25,-13,-31,-10,6329
69,Meowth (Galarian Meowth),-25,-27,-5,-23,-31,-60,6469
70,Persian,-10,-22,0,2,-6,15,849
71,Persian (Alolan Persian),-10,-32,0,12,-6,15,1529
72,Psyduck,-25,-40,-12,2,-21,-45,4839
73,Golduck,5,-10,18,32,9,-15,1779
74,Mankey,-35,-12,-25,-28,-26,-30,4354
75,Primeape,-10,13,0,-3,-1,-5,304
76,Growlithe,-20,-22,-15,7,-21,-40,3199
77,Growlithe (Hisuian Growlithe),-15,-17,-15,2,-21,-45,3209
78,Arcanine,15,18,20,37,9,-5,2424
79,Arcanine (Hisuian Arcanine),20,23,20,32,9,-10,2534
80,Poliwag,-35,-42,-20,-23,-31,-10,4979
81,Poliwhirl,-10,-27,5,-13,-21,-10,1564
82,Poliwrath,15,3,35,7,19,-30,2769
83,Abra,-50,-72,-45,42,-16,-10,11829
84,Kadabra,-35,-57,-30,57,-1,5,8649
85,Alakazam,-20,-42,-15,72,24,20,8549
86,Alakazam (Mega Alakazam),-20,-42,5,112,34,50,18389
87,Machop,-5,-12,-10,-28,-36,-65,6574
88,Machoke,5,8,10,-13,-11,-55,3504
89,Machamp,15,38,20,2,14,-45,4294
