Matthew Werfel vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-29,-57,-48,-1,-38,-60,11439
1,Ivysaur,-14,-44,-34,14,-23,-45,6038
2,Venusaur,6,-24,-14,34,-3,-25,2598
3,Venusaur (Mega Venusaur),6,-6,26,56,17,-25,4798
4,Charmander,-35,-54,-54,-6,-53,-40,11502
5,Charmeleon,-16,-42,-39,14,-38,-25,5806
6,Charizard,4,-22,-19,43,-18,-5,3059
7,Charizard (Mega Charizard X),4,24,14,64,-18,-5,5233
8,Charizard (Mega Charizard Y),4,-2,-19,93,12,-5,9199
9,Squirtle,-30,-58,-32,-16,-39,-62,10909
10,Wartortle,-15,-43,-17,-1,-23,-47,5102
11,Blastoise,5,-23,3,19,2,-27,1657
12,Blastoise (Mega Blastoise),5,-3,23,69,12,-27,6197
13,Caterpie,-29,-76,-62,-46,-83,-60,23066
14,Metapod,-24,-86,-42,-41,-78,-75,23126
15,Butterfree,-14,-61,-47,24,-23,-35,8456
16,Weedle,-34,-71,-67,-46,-83,-55,22716
17,Kakuna,-29,-81,-47,-41,-78,-70,22276
18,Beedrill,-9,-16,-57,-21,-23,-30,5456
19,Beedrill (Mega Beedrill),-9,44,-57,-51,-23,40,9996
20,Pidgey,-34,-61,-57,-31,-68,-49,16112
21,Pidgeotto,-11,-46,-42,-16,-53,-34,8222
22,Pidgeot,9,-26,-22,4,-33,-4,2362
23,Pidgeot (Mega Pidgeot),9,-26,-17,69,-23,16,6592
24,Rattata,-44,-50,-62,-41,-68,-33,15674
25,Rattata (Alolan Rattata),-44,-50,-62,-41,-68,-33,15674
26,Raticate,-19,-25,-37,-16,-33,-8,3764
27,Raticate (Alolan Raticate),1,-35,-27,-26,-23,-28,3944
28,Spearow,-34,-46,-67,-35,-72,-35,15395
29,Fearow,-9,-16,-32,-5,-42,-5,3175
30,Ekans,-39,-46,-53,-26,-49,-50,12023
31,Arbok,-14,-11,-28,-1,-24,-25,2303
32,Pikachu,-39,-51,-57,-16,-53,-15,10661
33,Pikachu (Partner Pikachu),-29,-26,-47,9,-43,15,5881
34,Raichu,-14,-16,-42,24,-23,5,3346
35,Raichu (Alolan Raichu),-14,-21,-47,29,-18,5,4036
36,Sandshrew,-24,-31,-12,-46,-73,-65,13351
37,Sandshrew (Alolan Sandshrew),-24,-31,-7,-56,-68,-65,13571
38,Sandslash,1,-6,13,-21,-48,-40,4551
39,Sandslash (Alolan Sandslash),1,-6,23,-41,-38,-40,5291
40,Nidoran♀,-19,-59,-45,-26,-63,-64,14608
41,Nidorina,-4,-44,-30,-11,-48,-49,7678
42,Nidoqueen,16,-14,-10,9,-18,-29,1798
43,Nidoran♂,-28,-49,-57,-26,-63,-55,14104
44,Nidorino,-13,-34,-40,-11,-48,-40,6950
45,Nidoking,7,-4,-20,19,-28,-20,2010
46,Clefairy,-4,-61,-49,-6,-38,-70,12518
47,Clefable,21,-36,-24,29,-13,-45,5348
48,Vulpix,-36,-65,-57,-16,-38,-40,12070
49,Vulpix (Alolan Vulpix),-36,-65,-57,-16,-38,-40,12070
50,Ninetales,-1,-30,-22,15,-3,-5,1644
51,Ninetales (Alolan Ninetales),-1,-39,-22,15,-3,4,2256
52,Jigglypuff,41,-61,-77,-21,-78,-85,25081
53,Wigglytuff,66,-36,-52,19,-53,-60,15126
54,Zubat,-34,-61,-62,-36,-63,-50,16486
55,Golbat,1,-26,-27,-1,-28,-15,2416
56,Oddish,-29,-56,-42,9,-38,-75,12891
57,Gloom,-14,-41,-27,19,-28,-65,7976
58,Vileplume,1,-26,-12,44,-13,-55,5951
59,Paras,-39,-36,-42,-21,-48,-80,13726
60,Parasect,-14,-11,-17,-6,-23,-75,6796
61,Venonat,-14,-51,-47,-26,-48,-60,11586
62,Venomoth,-4,-41,-37,24,-28,-15,4651
63,Diglett,-64,-51,-72,-31,-58,-10,16306
64,Diglett (Alolan Diglett),-64,-51,-67,-31,-58,-15,15736
65,Dugtrio,-39,-6,-47,-16,-33,15,5336
66,Dugtrio (Alolan Dugtrio),-39,-6,-37,-16,-33,5,4296
67,Meowth,-34,-61,-62,-26,-63,-15,13591
68,Meowth (Alolan Meowth),-34,-71,-62,-16,-63,-15,14491
69,Meowth (Galarian Meowth),-24,-41,-42,-26,-63,-65,12891
70,Persian,-9,-36,-37,-1,-38,10,4291
71,Persian (Alolan Persian),-9,-46,-37,9,-38,10,5191
