Milen Satish vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-36,-60,-63,-9,-36,-55,13267
1,Ivysaur,-21,-47,-49,6,-21,-40,7128
2,Venusaur,-1,-27,-29,26,-1,-20,2648
3,Venusaur (Mega Venusaur),-1,-9,11,48,19,-20,3268
4,Charmander,-42,-57,-69,-14,-51,-35,13796
5,Charmeleon,-23,-45,-54,6,-36,-20,7202
6,Charizard,-3,-25,-34,35,-16,0,3271
7,Charizard (Mega Charizard X),-3,21,-1,56,-16,0,3843
8,Charizard (Mega Charizard Y),-3,-5,-34,85,14,0,8611
9,Squirtle,-37,-61,-47,-24,-37,-57,12493
10,Wartortle,-22,-46,-32,-9,-21,-42,5910
11,Blastoise,-2,-26,-12,11,4,-22,1445
12,Blastoise (Mega Blastoise),-2,-6,8,61,14,-22,4505
13,Caterpie,-36,-79,-77,-54,-81,-55,25968
14,Metapod,-31,-89,-57,-49,-76,-70,25208
15,Butterfree,-21,-64,-62,16,-21,-30,9978
16,Weedle,-41,-74,-82,-54,-81,-50,25858
17,Kakuna,-36,-84,-62,-49,-76,-65,24598
18,Beedrill,-16,-19,-72,-29,-21,-25,7708
19,Beedrill (Mega Beedrill),-16,41,-72,-59,-21,45,13068
20,Pidgey,-41,-64,-72,-39,-66,-44,18774
21,Pidgeotto,-18,-49,-57,-24,-51,-29,9992
22,Pidgeot,2,-29,-37,-4,-31,1,3192
23,Pidgeot (Mega Pidgeot),2,-29,-32,61,-21,21,6472
24,Rattata,-51,-53,-77,-49,-66,-28,18880
25,Rattata (Alolan Rattata),-51,-53,-77,-49,-66,-28,18880
26,Raticate,-26,-28,-52,-24,-31,-3,5710
27,Raticate (Alolan Raticate),-6,-38,-42,-34,-21,-23,5370
28,Spearow,-41,-49,-82,-43,-70,-30,18455
29,Fearow,-16,-19,-47,-13,-40,0,4595
30,Ekans,-46,-49,-68,-34,-47,-45,14531
31,Arbok,-21,-14,-43,-9,-22,-20,3451
32,Pikachu,-46,-54,-72,-24,-51,-10,13493
33,Pikachu (Partner Pikachu),-36,-29,-62,1,-41,20,8063
34,Raichu,-21,-19,-57,16,-21,10,4848
35,Raichu (Alolan Raichu),-21,-24,-62,21,-16,10,5658
36,Sandshrew,-31,-34,-27,-54,-71,-60,14403
37,Sandshrew (Alolan Sandshrew),-31,-34,-22,-64,-66,-60,14653
38,Sandslash,-6,-9,-2,-29,-46,-35,4303
39,Sandslash (Alolan Sandslash),-6,-9,8,-49,-36,-35,5103
40,Nidoran♀,-26,-62,-60,-34,-61,-59,16478
41,Nidorina,-11,-47,-45,-19,-46,-44,8768
42,Nidoqueen,9,-17,-25,1,-16,-24,1828
43,Nidoran♂,-35,-52,-72,-34,-61,-50,16490
44,Nidorino,-20,-37,-55,-19,-46,-35,8496
45,Nidoking,0,-7,-35,11,-26,-15,2296
46,Clefairy,-11,-64,-64,-14,-36,-65,14030
47,Clefable,14,-39,-39,21,-11,-40,5400
48,Vulpix,-43,-68,-72,-24,-36,-35,14754
49,Vulpix (Alolan Vulpix),-43,-68,-72,-24,-36,-35,14754
50,Ninetales,-8,-33,-37,7,-1,0,2572
51,Ninetales (Alolan Ninetales),-8,-42,-37,7,-1,9,3328
52,Jigglypuff,34,-64,-92,-29,-76,-80,26733
53,Wigglytuff,59,-39,-67,11,-51,-55,15238
54,Zubat,-41,-64,-77,-44,-61,-45,19388
55,Golbat,-6,-29,-42,-9,-26,-10,3498
56,Oddish,-36,-59,-57,1,-36,-70,14223
57,Gloom,-21,-44,-42,11,-26,-60,8538
58,Vileplume,-6,-29,-27,36,-11,-50,5523
59,Paras,-46,-39,-57,-29,-46,-75,15468
60,Parasect,-21,-14,-32,-14,-21,-70,7198
61,Venonat,-21,-54,-62,-34,-46,-55,13498
62,Venomoth,-11,-44,-52,16,-26,-10,5793
63,Diglett,-71,-54,-87,-39,-56,-5,20208
64,Diglett (Alolan Diglett),-71,-54,-82,-39,-56,-10,19438
65,Dugtrio,-46,-9,-62,-24,-31,20,7978
66,Dugtrio (Alolan Dugtrio),-46,-9,-52,-24,-31,10,6538
67,Meowth,-41,-64,-77,-34,-61,-10,16683
68,Meowth (Alolan Meowth),-41,-74,-77,-24,-61,-10,17483
69,Meowth (Galarian Meowth),-31,-44,-57,-34,-61,-60,14623
70,Persian,-16,-39,-52,-9,-36,15,6083
71,Persian (Alolan Persian),-16,-49,-52,1,-36,15,6883
72,Psyduck,-31,-57,-64,-9,-51,-45,13013
73,Golduck,-1,-27,-34,21,-21,-15,2993
74,Mankey,-41,-29,-77,-39,-56,-30,14008
75,Primeape,-16,-4,-52,-14,-31,-5,4158
76,Growlithe,-26,-39,-67,-4,-51,-40,10903
77,Growlithe (Hisuian Growlithe),-21,-34,-67,-9,-51,-45,10793
78,Arcanine,9,1,-32,26,-21,-5,2248
79,Arcanine (Hisuian Arcanine),14,6,-32,21,-21,-10,2238
80,Poliwag,-41,-59,-72,-34,-61,-10,15323
81,Poliwhirl,-16,-44,-47,-24,-51,-10,7678
82,Poliwrath,9,-14,-17,-4,-11,-30,1603
83,Abra,-56,-89,-97,31,-46,-10,23643
84,Kadabra,-41,-74,-82,46,-31,5,16983
85,Alakazam,-26,-59,-67,61,-6,20,12803
86,Alakazam (Mega Alakazam),-26,-59,-47,101,4,50,19083
87,Machop,-11,-29,-62,-39,-66,-65,14908
88,Machoke,-1,-9,-42,-24,-41,-55,7128
89,Machamp,9,21,-32,-9,-16,-45,3908
90,Bellsprout,-31,-34,-77,-4,-71,-60,16703
91,Weepinbell,-16,-19,-62,11,-56,-45,9743
92,Victreebel,-1,-4,-47,26,-31,-30,4763
93,Tentacool,-41,-69,-77,-24,-1,-30,13848
94,Tentacruel,-1,-39,-47,6,19,0,4128
95,Geodude,-41,-29,-12,-44,-71,-80,16043
96,Geodude (Alolan Geodude),-41,-29,-12,-44,-71,-80,16043
97,Graveler,-26,-14,3,-29,-56,-65,9083
98,Graveler (Alolan Graveler),-26,-14,3,-29,-56,-65,9083
99,Golem,-1,11,18,-19,-36,-55,5128
100,Golem (Alolan Golem),-1,11,18,-19,-36,-55,5128
101,Ponyta,-31,-24,-57,-9,-36,-10,6263
102,Ponyta (Galarian Ponyta),-31,-24,-57,-9,-36,-10,6263
103,Rapidash,-16,-9,-42,6,-21,5,2603
104,Rapidash (Galarian Rapidash),-16,-9,-42,6,-21,5,2603
105,Slowpoke,9,-44,-47,-34,-61,-85,16328
106,Slowpoke (Galarian Slowpoke),9,-44,-47,-34,-61,-85,16328
107,Slowbro,14,-34,-2,26,-21,-70,7373
108,Slowbro (Mega Slowbro),14,-34,68,56,-21,-70,14453
109,Slowbro (Galarian Slowbro),14,-9,-17,26,-31,-70,7103
110,Magnemite,-56,-74,-42,21,-46,-55,15958
111,Magneton,-31,-49,-17,46,-31,-30,7628
112,Farfetch'd,-29,-19,-57,-16,-39,-40,7828
113,Farfetch'd (Galarian Farfetch'd),-29,-14,-57,-16,-39,-45,8088
114,Doduo,-46,-24,-67,-39,-66,-25,13683
115,Dodrio,-21,1,-42,-14,-41,10,4183
116,Seel,-16,-64,-57,-29,-31,-55,12428
117,Dewgong,9,-39,-32,-4,-6,-30,3578
118,Grimer,-1,-29,-62,-34,-51,-75,14068
119,Grimer (Alolan Grimer),-1,-29,-62,-34,-51,-75,14068
120,Muk,24,-4,-37,-9,-1,-50,4543
121,Muk (Alolan Muk),24,-4,-37,-9,-1,-50,4543
122,Shellder,-51,-44,-12,-29,-76,-60,14898
123,Cloyster,-31,-14,68,11,-56,-30,9938
124,Gastly,-51,-74,-82,26,-66,-20,20233
125,Haunter,-36,-59,-67,41,-46,-5,13088
126,Gengar,-21,-44,-52,56,-26,10,8993
127,Gengar (Mega Gengar),-21,-44,-32,96,-6,30,13553
128,Onix,-46,-64,48,-44,-56,-30,14488
129,Drowzee,-21,-61,-67,-31,-11,-58,13097
130,Hypno,4,-36,-42,-1,14,-33,4362
131,Krabby,-51,-4,-22,-49,-76,-50,13778
132,Kingler,-26,21,3,-24,-51,-25,4928
133,Voltorb,-41,-79,-62,-19,-46,0,14243
134,Voltorb (Hisuian Voltorb),-41,-79,-62,-19,-46,0,14243
135,Electrode,-21,-59,-42,6,-21,50,8663
136,Electrode (Hisuian Electrode),-21,-59,-42,6,-21,50,8663
137,Exeggcute,-21,-69,-32,-14,-56,-60,13158
138,Exeggutor,14,-14,-27,51,-26,-45,6423
139,Exeggutor (Alolan Exeggutor),14,-4,-27,51,-26,-55,7243
140,Cubone,-31,-59,-17,-34,-51,-65,12713
141,Marowak,-21,-29,-2,-24,-21,-55,5328
142,Marowak (Alolan Marowak),-21,-29,-2,-24,-21,-55,5328
143,Hitmonlee,-31,11,-59,-39,9,-13,6334
144,Hitmonchan,-31,-4,-33,-39,9,-24,4244
145,Lickitung,9,-54,-37,-14,-26,-70,10138
146,Koffing,-41,-44,-17,-14,-56,-65,11463
147,Weezing,-16,-19,8,11,-31,-40,3363
148,Weezing (Galarian Weezing),-16,-19,8,11,-31,-40,3363
149,Rhyhorn,-1,-24,-17,-44,-71,-75,13468
150,Rhydon,24,21,8,-29,-56,-60,8658
151,Chansey,169,-104,-107,-39,4,-50,54863
152,Tangela,-16,-54,3,26,-61,-40,9178
153,Kangaskhan,24,-14,-32,-34,-21,-10,3493
154,Kangaskhan (Mega Kangaskhan),24,16,-12,-14,-1,0,1173
155,Horsea,-51,-69,-42,-4,-76,-40,16518
156,Seadra,-26,-44,-17,21,-56,-15,6703
157,Goldeen,-36,-42,-52,-39,-51,-37,11255
158,Seaking,-1,-17,-47,-9,-21,-32,4045
159,Staryu,-51,-64,-57,-4,-46,-15,12303
160,Starmie,-21,-34,-27,26,-16,15,3483
161,Mr. Mime,-41,-64,-47,26,19,-10,9123
162,Mr. Mime (Galarian Mr. Mime),-31,-44,-47,16,-11,0,5483
163,Scyther,-11,1,-32,-19,-21,5,1973
164,Jynx,-16,-59,-77,41,-6,-5,11408
165,Electabuzz,-16,-26,-55,21,-16,5,4679
166,Magmar,-16,-14,-55,26,-16,-7,4458
167,Pinsir,-16,16,-12,-19,-31,-15,2203
168,Pinsir (Mega Pinsir),-16,46,8,-9,-11,5,2663
169,Tauros,-6,-9,-17,-34,-31,10,2623
170,Tauros (Paldean Tauros (Combat Breed)),-6,1,-7,-44,-31,0,2983
171,Tauros (Paldean Tauros (Blaze Breed)),-6,1,-7,-44,-31,0,2983
172,Tauros (Paldean Tauros (Aqua Breed)),-6,1,-7,-44,-31,0,2983
173,Magikarp,-61,-99,-57,-59,-81,-20,27213
174,Gyarados,14,16,-33,-14,-1,-19,2099
175,Gyarados (Mega Gyarados),14,46,-3,-4,29,-19,3539
176,Lapras,49,-24,-32,11,-6,-40,5758
177,Ditto,-33,-61,-64,-26,-53,-52,15095
178,Eevee,-26,-54,-62,-29,-36,-45,11598
179,Eevee (Partner Eevee),-16,-34,-42,-9,-16,-25,4138
180,Vaporeon,49,-44,-52,36,-6,-35,9598
181,Jolteon,-16,-44,-52,36,-6,30,7128
182,Flareon,-16,21,-52,21,9,-35,5148
183,Porygon,-16,-49,-42,11,-26,-60,8818
184,Omanyte,-46,-69,-12,16,-46,-65,13618
185,Omastar,-11,-49,13,41,-31,-45,7358
186,Kabuto,-51,-29,-22,-19,-56,-45,9448
187,Kabutops,-21,6,-7,-9,-31,-20,1968
188,Aerodactyl,-1,-4,-47,-14,-26,30,3998
189,Aerodactyl (Mega Aerodactyl),-1,26,-27,-4,-6,50,3958
190,Snorlax,79,1,-47,-9,9,-70,13513
191,Articuno,9,-24,-12,21,24,-15,2043
192,Articuno (Galarian Articuno),9,-24,-27,51,-1,-5,4013
193,Zapdos,9,-19,-27,51,-11,0,3893
194,Zapdos (Galarian Zapdos),9,16,-22,11,-11,0,1063
195,Moltres,9,-9,-22,51,-16,-10,3603
196,Moltres (Galarian Moltres),9,-24,-22,26,24,-10,2493
197,Dratini,-40,-45,-67,-24,-51,-50,13791
198,Dragonair,-20,-25,-47,-4,-31,-30,5111
199,Dragonite,10,25,-17,26,-1,-20,2091
200,Mewtwo,25,1,-22,80,-11,30,8531
201,Mewtwo (Mega Mewtwo X),25,81,-12,80,-1,30,14631
202,Mewtwo (Mega Mewtwo Y),25,41,-42,120,19,40,20431
203,Mew,19,-9,-12,26,-1,0,1263
204,Chikorita,-36,-60,-47,-25,-36,-55,12051
205,Bayleef,-21,-47,-32,-11,-21,-40,5836
206,Meganium,-1,-27,-12,9,-1,-20,1356
207,Cyndaquil,-42,-57,-69,-14,-51,-35,13796
208,Quilava,-23,-45,-54,6,-36,-20,7202
209,Typhlosion,-3,-25,-34,35,-16,0,3271
210,Typhlosion (Hisuian Typhlosion),-8,-25,-34,45,-16,-5,4151
211,Totodile,-31,-44,-48,-30,-53,-57,12159
212,Croconaw,-16,-29,-32,-15,-38,-42,5554
213,Feraligatr,4,-4,-12,5,-18,-22,1009
214,Sentret,-46,-63,-78,-39,-56,-80,23226
215,Furret,4,-33,-48,-29,-46,-10,6466
216,Hoothoot,-21,-79,-82,-38,-45,-50,19375
217,Noctowl,19,-59,-62,12,-5,-30,8755
218,Ledyba,-41,-89,-82,-34,-21,-45,19948
219,Ledian,-26,-74,-62,-19,9,-15,10663
220,Spinarak,-41,-49,-72,-34,-61,-70,19043
221,Ariados,-11,-19,-42,-14,-31,-60,7003
222,Crobat,4,-19,-32,-4,-21,30,2758
223,Chinchou,-6,-71,-74,-18,-45,-33,13991
224,Lanturn,44,-51,-54,2,-25,-33,9171
225,Pichu,-61,-69,-97,-39,-66,-40,25368
226,Cleffa,-31,-84,-84,-29,-46,-85,25255
227,Igglybuff,9,-79,-97,-34,-81,-85,30673
228,Togepi,-46,-89,-47,-34,-36,-80,21098
229,Togetic,-26,-69,-27,6,4,-60,9818
230,Natu,-41,-59,-67,-4,-56,-30,13703
231,Xatu,-16,-34,-42,21,-31,-5,4603
232,Mareep,-26,-69,-72,-9,-56,-65,18063
233,Flaaffy,-11,-54,-57,6,-41,-55,11028
234,Ampharos,9,-34,-27,41,-11,-45,5793
235,Ampharos (Mega Ampharos),9,-14,-7,91,9,-55,11713
236,Bellossom,-6,-29,-17,16,-1,-50,3923
237,Marill,-11,-89,-62,-54,-51,-60,21003
238,Azumarill,19,-59,-32,-14,-21,-50,8003
239,Sudowoodo,-11,-9,3,-44,-36,-70,8343
240,Politoed,9,-34,-37,16,-1,-30,3763
241,Hoppip,-46,-74,-72,-39,-46,-50,18913
242,Skiploom,-26,-64,-62,-29,-36,-20,11153
243,Jumpluff,-6,-54,-42,-19,-6,10,5213
244,Aipom,-26,-39,-57,-34,-46,-15,8943
245,Sunkern,-51,-79,-82,-44,-71,-70,27443
246,Sunflora,-6,-34,-57,31,-16,-70,10558
247,Yanma,-16,-44,-67,1,-56,-5,9843
248,Wooper,-26,-64,-67,-49,-76,-85,24663
249,Wooper (Paldean Wooper),-26,-64,-67,-49,-76,-85,24663
250,Quagsire,14,-24,-27,-9,-36,-65,7103
251,Espeon,-16,-44,-52,56,-6,10,8168
252,Umbreon,14,-44,-2,-14,29,-35,4398
253,Murkrow,-21,-24,-70,11,-59,-9,9600
254,Slowking,14,-34,-32,26,9,-70,8033
255,Slowking (Galarian Slowking),14,-44,-32,36,9,-70,9433
256,Misdreavus,-21,-49,-52,11,-16,-15,6148
257,Unown,-33,-37,-64,-2,-53,-52,12071
258,Wobbuffet,109,-76,-54,-41,-43,-67,28592
259,Girafarig,-11,-29,-47,16,-36,-15,4948
260,Pineco,-31,-44,-22,-39,-66,-85,16483
261,Forretress,-6,-19,28,-14,-41,-60,6658
262,Dunsparce,19,-39,-42,-9,-36,-55,8048
263,Gligar,-16,-34,-7,-39,-36,-15,4503
264,Steelix,-6,-24,88,-19,-36,-70,14913
265,Steelix (Mega Steelix),-6,16,118,-19,-6,-70,19513
266,Snubbull,-21,-29,-62,-34,-61,-70,14903
267,Granbull,9,11,-37,-14,-41,-55,6473
268,Qwilfish,-16,-14,-27,-19,-46,-15,3883
269,Qwilfish (Hisuian Qwilfish),-16,-14,-27,-19,-46,-15,3883
270,Scizor,-11,21,-12,-19,-21,-35,2733
271,Scizor (Mega Scizor),-11,41,28,-9,-1,-25,3293
272,Shuckle,-61,-99,118,-64,129,-95,57208
273,Heracross,-1,16,-37,-34,-6,-15,3043
274,Heracross (Mega Heracross),-1,76,3,-34,4,-25,7583
275,Sneasel,-26,-14,-57,-39,-26,15,6543
276,Sneasel (Hisuian Sneasel),-26,-14,-57,-39,-26,15,6543
277,Teddiursa,-21,-29,-62,-24,-51,-60,11903
278,Ursaring,9,21,-37,1,-26,-45,4593
279,Slugma,-41,-69,-72,-4,-61,-80,21763
280,Magcargo,-21,-59,8,16,-21,-70,9583
281,Swinub,-31,-59,-72,-44,-71,-50,19103
282,Piloswine,19,-9,-32,-14,-41,-50,5843
283,Corsola,-16,-54,-17,-9,-6,-65,7803
284,Corsola (Galarian Corsola),-21,-54,-12,-9,-1,-70,8483
285,Remoraid,-46,-44,-77,-9,-66,-35,15643
286,Octillery,-6,-4,-37,31,-26,-55,6083
287,Delibird,-36,-54,-67,-9,-56,-25,12543
288,Mantine,4,-69,-42,6,39,-30,8998
289,Skarmory,-16,-29,28,-34,-31,-30,4898
290,Houndour,-36,-49,-82,6,-51,-35,14283
291,Houndoom,-6,-19,-62,36,-21,-5,6003
292,Houndoom (Mega Houndoom),-6,-19,-22,66,-11,15,5583
293,Kingdra,-6,-14,-17,21,-6,-15,1223
294,Phanpy,9,-49,-52,-34,-61,-60,13663
295,Donphan,9,11,8,-14,-41,-50,4643
296,Porygon2,4,-29,-22,31,-6,-40,3938
297,Stantler,-8,-14,-50,11,-36,-15,4402
298,Smeargle,-26,-89,-77,-54,-56,-25,21203
299,Tyrogue,-46,-74,-77,-39,-66,-65,23623
300,Hitmontop,-31,-14,-17,-39,9,-30,3948
301,Smoochum,-36,-79,-97,11,-36,-35,19588
302,Elekid,-36,-46,-75,-9,-46,-5,11259
303,Magby,-36,-34,-75,-4,-46,-17,10498
304,Miltank,14,-29,-7,-34,-31,0,3203
305,Blissey,174,-99,-102,1,34,-45,53663
306,Raikou,9,-24,-37,41,-1,15,3933
307,Entei,34,6,-27,16,-26,0,2853
308,Suicune,19,-34,3,16,14,-15,2203
309,Larvitar,-31,-45,-62,-29,-51,-59,13753
310,Pupitar,-11,-25,-42,-9,-31,-49,5953
311,Tyranitar,19,25,-2,21,-1,-39,2953
312,Tyranitar (Mega Tyranitar),19,55,38,21,19,-29,6473
