Nathan Snow vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-40,-61,-57,-9,-37,-57,13269
1,Ivysaur,-25,-48,-43,6,-22,-42,7062
2,Venusaur,-5,-28,-23,26,-2,-22,2502
3,Venusaur (Mega Venusaur),-5,-10,17,48,18,-22,3526
4,Charmander,-46,-58,-63,-14,-52,-37,13718
5,Charmeleon,-27,-46,-48,6,-37,-22,7038
6,Charizard,-7,-26,-28,35,-17,-2,3027
7,Charizard (Mega Charizard X),-7,20,5,56,-17,-2,3903
8,Charizard (Mega Charizard Y),-7,-6,-28,85,13,-2,8267
9,Squirtle,-41,-62,-41,-24,-38,-59,12707
10,Wartortle,-26,-47,-26,-9,-22,-44,6062
11,Blastoise,-6,-27,-6,11,3,-24,1507
12,Blastoise (Mega Blastoise),-6,-7,14,61,13,-24,4747
13,Caterpie,-40,-80,-71,-54,-82,-57,25930
14,Metapod,-35,-90,-51,-49,-77,-72,25440
15,Butterfree,-25,-65,-56,16,-22,-32,9750
16,Weedle,-45,-75,-76,-54,-82,-52,25770
17,Kakuna,-40,-85,-56,-49,-77,-67,24780
18,Beedrill,-20,-20,-66,-29,-22,-27,7210
19,Beedrill (Mega Beedrill),-20,40,-66,-59,-22,43,12170
20,Pidgey,-45,-65,-66,-39,-67,-46,18732
21,Pidgeotto,-22,-50,-51,-24,-52,-31,9826
22,Pidgeot,-2,-30,-31,-4,-32,-1,2906
23,Pidgeot (Mega Pidgeot),-2,-30,-26,61,-22,19,6146
24,Rattata,-55,-54,-71,-49,-67,-30,18772
25,Rattata (Alolan Rattata),-55,-54,-71,-49,-67,-30,18772
26,Raticate,-30,-29,-46,-24,-32,-5,5482
27,Raticate (Alolan Raticate),-10,-39,-36,-34,-22,-25,5182
28,Spearow,-45,-50,-76,-43,-71,-32,18215
29,Fearow,-20,-20,-41,-13,-41,-2,4335
30,Ekans,-50,-50,-62,-34,-48,-47,14513
31,Arbok,-25,-15,-37,-9,-23,-22,3313
32,Pikachu,-50,-55,-66,-24,-52,-12,13305
33,Pikachu (Partner Pikachu),-40,-30,-56,1,-42,18,7725
34,Raichu,-25,-20,-51,16,-22,8,4430
35,Raichu (Alolan Raichu),-25,-25,-56,21,-17,8,5180
36,Sandshrew,-35,-35,-21,-54,-72,-62,14835
37,Sandshrew (Alolan Sandshrew),-35,-35,-16,-64,-67,-62,15135
38,Sandslash,-10,-10,4,-29,-47,-37,4635
39,Sandslash (Alolan Sandslash),-10,-10,14,-49,-37,-37,5535
40,Nidoran♀,-30,-63,-54,-34,-62,-61,16506
41,Nidorina,-15,-48,-39,-19,-47,-46,8736
42,Nidoqueen,5,-18,-19,1,-17,-26,1676
43,Nidoran♂,-39,-53,-66,-34,-62,-52,16390
44,Nidorino,-24,-38,-49,-19,-47,-37,8360
45,Nidoking,-4,-8,-29,11,-27,-17,2060
46,Clefairy,-15,-65,-58,-14,-37,-67,13868
47,Clefable,10,-40,-33,21,-12,-42,5138
48,Vulpix,-47,-69,-66,-24,-37,-37,14640
49,Vulpix (Alolan Vulpix),-47,-69,-66,-24,-37,-37,14640
50,Ninetales,-12,-34,-31,7,-2,-2,2318
51,Ninetales (Alolan Ninetales),-12,-43,-31,7,-2,7,3056
52,Jigglypuff,30,-65,-86,-29,-77,-82,26015
53,Wigglytuff,55,-40,-61,11,-52,-57,14420
54,Zubat,-45,-65,-71,-44,-62,-47,19280
55,Golbat,-10,-30,-36,-9,-27,-12,3250
56,Oddish,-40,-60,-51,1,-37,-72,14355
57,Gloom,-25,-45,-36,11,-27,-62,8640
58,Vileplume,-10,-30,-21,36,-12,-52,5585
59,Paras,-50,-40,-51,-29,-47,-77,15680
60,Parasect,-25,-15,-26,-14,-22,-72,7390
61,Venonat,-25,-55,-56,-34,-47,-57,13400
62,Venomoth,-15,-45,-46,16,-27,-12,5495
63,Diglett,-75,-55,-81,-39,-57,-7,20030
64,Diglett (Alolan Diglett),-75,-55,-76,-39,-57,-12,19340
65,Dugtrio,-50,-10,-56,-24,-32,18,7660
66,Dugtrio (Alolan Dugtrio),-50,-10,-46,-24,-32,8,6380
67,Meowth,-45,-65,-71,-34,-62,-12,16435
68,Meowth (Alolan Meowth),-45,-75,-71,-24,-62,-12,17255
69,Meowth (Galarian Meowth),-35,-45,-51,-34,-62,-62,14695
70,Persian,-20,-40,-46,-9,-37,13,5735
71,Persian (Alolan Persian),-20,-50,-46,1,-37,13,6555
72,Psyduck,-35,-58,-58,-9,-52,-47,12947
73,Golduck,-5,-28,-28,21,-22,-17,2807
74,Mankey,-45,-30,-71,-39,-57,-32,13760
75,Primeape,-20,-5,-46,-14,-32,-7,3810
76,Growlithe,-30,-40,-61,-4,-52,-42,10705
77,Growlithe (Hisuian Growlithe),-25,-35,-61,-9,-52,-47,10565
78,Arcanine,5,0,-26,26,-22,-7,1910
79,Arcanine (Hisuian Arcanine),10,5,-26,21,-22,-12,1870
80,Poliwag,-45,-60,-66,-34,-62,-12,15125
81,Poliwhirl,-20,-45,-41,-24,-52,-12,7530
82,Poliwrath,5,-15,-11,-4,-12,-32,1555
83,Abra,-60,-90,-91,31,-47,-12,23295
84,Kadabra,-45,-75,-76,46,-32,3,16575
85,Alakazam,-30,-60,-61,61,-7,18,12315
86,Alakazam (Mega Alakazam),-30,-60,-41,101,3,48,18695
87,Machop,-15,-30,-56,-39,-67,-67,14760
88,Machoke,-5,-10,-36,-24,-42,-57,7010
89,Machamp,5,20,-26,-9,-17,-47,3680
90,Bellsprout,-35,-35,-71,-4,-72,-62,16535
91,Weepinbell,-20,-20,-56,11,-57,-47,9515
92,Victreebel,-5,-5,-41,26,-32,-32,4455
93,Tentacool,-45,-70,-71,-24,-2,-32,13570
94,Tentacruel,-5,-40,-41,6,18,-2,3670
95,Geodude,-45,-30,-6,-44,-72,-82,16805
96,Geodude (Alolan Geodude),-45,-30,-6,-44,-72,-82,16805
97,Graveler,-30,-15,9,-29,-57,-67,9785
98,Graveler (Alolan Graveler),-30,-15,9,-29,-57,-67,9785
99,Golem,-5,10,24,-19,-37,-57,5680
100,Golem (Alolan Golem),-5,10,24,-19,-37,-57,5680
101,Ponyta,-35,-25,-51,-9,-37,-12,6045
102,Ponyta (Galarian Ponyta),-35,-25,-51,-9,-37,-12,6045
103,Rapidash,-20,-10,-36,6,-22,3,2325
104,Rapidash (Galarian Rapidash),-20,-10,-36,6,-22,3,2325
105,Slowpoke,5,-45,-41,-34,-62,-87,16300
106,Slowpoke (Galarian Slowpoke),5,-45,-41,-34,-62,-87,16300
107,Slowbro,10,-35,4,26,-22,-72,7685
108,Slowbro (Mega Slowbro),10,-35,74,56,-22,-72,15605
109,Slowbro (Galarian Slowbro),10,-10,-11,26,-32,-72,7205
110,Magnemite,-60,-75,-36,21,-47,-57,16420
111,Magneton,-35,-50,-11,46,-32,-32,8010
112,Farfetch'd,-33,-20,-51,-16,-40,-42,7710
113,Farfetch'd (Galarian Farfetch'd),-33,-15,-51,-16,-40,-47,7980
114,Doduo,-50,-25,-61,-39,-67,-27,13585
115,Dodrio,-25,0,-36,-14,-42,8,3945
116,Seel,-20,-65,-51,-29,-32,-57,12340
117,Dewgong,5,-40,-26,-4,-7,-32,3390
118,Grimer,-5,-30,-56,-34,-52,-77,13850
119,Grimer (Alolan Grimer),-5,-30,-56,-34,-52,-77,13850
120,Muk,20,-5,-31,-9,-2,-52,4175
121,Muk (Alolan Muk),20,-5,-31,-9,-2,-52,4175
122,Shellder,-55,-45,-6,-29,-77,-62,15700
123,Cloyster,-35,-15,74,11,-57,-32,11320
124,Gastly,-55,-75,-76,26,-67,-22,20075
125,Haunter,-40,-60,-61,41,-47,-7,12860
126,Gengar,-25,-45,-46,56,-27,8,8695
127,Gengar (Mega Gengar),-25,-45,-26,96,-7,28,13375
128,Onix,-50,-65,54,-44,-57,-32,15850
129,Drowzee,-25,-62,-61,-31,-12,-60,12895
130,Hypno,0,-37,-36,-1,13,-35,4060
131,Krabby,-55,-5,-16,-49,-77,-52,14340
132,Kingler,-30,20,9,-24,-52,-27,5390
133,Voltorb,-45,-80,-56,-19,-47,-2,14135
134,Voltorb (Hisuian Voltorb),-45,-80,-56,-19,-47,-2,14135
135,Electrode,-25,-60,-36,6,-22,48,8345
136,Electrode (Hisuian Electrode),-25,-60,-36,6,-22,48,8345
137,Exeggcute,-25,-70,-26,-14,-57,-62,13490
138,Exeggutor,10,-15,-21,51,-27,-47,6305
139,Exeggutor (Alolan Exeggutor),10,-5,-21,51,-27,-57,7145
140,Cubone,-35,-60,-11,-34,-52,-67,13295
141,Marowak,-25,-30,4,-24,-22,-57,5850
142,Marowak (Alolan Marowak),-25,-30,4,-24,-22,-57,5850
143,Hitmonlee,-35,10,-53,-39,8,-15,5944
144,Hitmonchan,-35,-5,-27,-39,8,-26,4240
145,Lickitung,5,-55,-31,-14,-27,-72,10120
146,Koffing,-45,-45,-11,-14,-57,-67,12105
147,Weezing,-20,-20,14,11,-32,-42,3905
148,Weezing (Galarian Weezing),-20,-20,14,11,-32,-42,3905
149,Rhyhorn,-5,-25,-11,-44,-72,-77,13820
