Noah Dale vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-47,-43,-19,-2,-31,-75,11009
1,Ivysaur,-32,-30,-5,13,-16,-60,5974
2,Venusaur,-12,-10,15,33,4,-40,3174
3,Venusaur (Mega Venusaur),-12,8,55,55,24,-40,8434
4,Charmander,-53,-40,-25,-7,-46,-55,10224
5,Charmeleon,-34,-28,-10,13,-31,-40,4770
6,Charizard,-14,-8,10,42,-11,-20,2645
7,Charizard (Mega Charizard X),-14,38,43,63,-11,-20,7979
8,Charizard (Mega Charizard Y),-14,12,10,92,19,-20,9665
9,Squirtle,-48,-44,-3,-17,-32,-77,11491
10,Wartortle,-33,-29,12,-2,-16,-62,6178
11,Blastoise,-13,-9,32,18,9,-42,3443
12,Blastoise (Mega Blastoise),-13,11,52,68,19,-42,9743
13,Caterpie,-47,-62,-33,-47,-76,-75,20752
14,Metapod,-42,-72,-13,-42,-71,-90,22022
15,Butterfree,-32,-47,-18,23,-16,-50,6842
16,Weedle,-52,-57,-38,-47,-76,-70,20282
17,Kakuna,-47,-67,-18,-42,-71,-85,21052
18,Beedrill,-27,-2,-28,-22,-16,-45,4282
19,Beedrill (Mega Beedrill),-27,58,-28,-52,-16,25,8462
20,Pidgey,-52,-47,-28,-32,-61,-64,14538
21,Pidgeotto,-29,-32,-13,-17,-46,-49,6840
22,Pidgeot,-9,-12,7,3,-26,-19,1320
23,Pidgeot (Mega Pidgeot),-9,-12,12,68,-16,1,5250
24,Rattata,-62,-36,-33,-42,-61,-48,14018
25,Rattata (Alolan Rattata),-62,-36,-33,-42,-61,-48,14018
26,Raticate,-37,-11,-8,-17,-26,-23,3048
27,Raticate (Alolan Raticate),-17,-21,2,-27,-16,-43,3568
28,Spearow,-52,-32,-38,-36,-65,-50,13193
29,Fearow,-27,-2,-3,-6,-35,-20,2403
30,Ekans,-57,-32,-24,-27,-42,-65,11567
31,Arbok,-32,3,1,-2,-17,-40,2927
32,Pikachu,-57,-37,-28,-17,-46,-30,8707
33,Pikachu (Partner Pikachu),-47,-12,-18,8,-36,0,4037
34,Raichu,-32,-2,-13,23,-16,-10,2082
35,Raichu (Alolan Raichu),-32,-7,-18,28,-11,-10,2402
36,Sandshrew,-42,-17,17,-47,-66,-80,15307
37,Sandshrew (Alolan Sandshrew),-42,-17,22,-57,-61,-80,15907
38,Sandslash,-17,8,42,-22,-41,-55,7307
39,Sandslash (Alolan Sandslash),-17,8,52,-42,-31,-55,8807
40,Nidoran♀,-37,-45,-16,-27,-56,-79,13756
41,Nidorina,-22,-30,-1,-12,-41,-64,7306
42,Nidoqueen,-2,0,19,8,-11,-44,2486
43,Nidoran♂,-46,-35,-28,-27,-56,-70,12890
44,Nidorino,-31,-20,-11,-12,-41,-55,6332
45,Nidoking,-11,10,9,18,-21,-35,2292
46,Clefairy,-22,-47,-20,-7,-31,-85,11328
47,Clefable,3,-22,5,28,-6,-60,4938
48,Vulpix,-54,-51,-28,-17,-31,-55,10576
49,Vulpix (Alolan Vulpix),-54,-51,-28,-17,-31,-55,10576
50,Ninetales,-19,-16,7,14,4,-20,1278
51,Ninetales (Alolan Ninetales),-19,-25,7,14,4,-11,1368
52,Jigglypuff,23,-47,-48,-22,-71,-100,20567
53,Wigglytuff,48,-22,-23,18,-46,-75,11382
54,Zubat,-52,-47,-33,-37,-56,-65,14732
55,Golbat,-17,-12,2,-2,-21,-30,1782
56,Oddish,-47,-42,-13,8,-31,-90,13267
57,Gloom,-32,-27,2,18,-21,-80,8922
58,Vileplume,-17,-12,17,43,-6,-70,7507
59,Paras,-57,-22,-13,-22,-41,-95,15092
60,Parasect,-32,3,12,-7,-16,-90,9582
61,Venonat,-32,-37,-18,-27,-41,-75,10752
62,Venomoth,-22,-27,-8,23,-21,-30,3147
63,Diglett,-82,-37,-43,-32,-51,-25,14192
64,Diglett (Alolan Diglett),-82,-37,-38,-32,-51,-30,14062
65,Dugtrio,-57,8,-18,-17,-26,0,4602
66,Dugtrio (Alolan Dugtrio),-57,8,-8,-17,-26,-10,4442
67,Meowth,-52,-47,-33,-27,-56,-30,10767
68,Meowth (Alolan Meowth),-52,-57,-33,-17,-56,-30,11367
69,Meowth (Galarian Meowth),-42,-27,-13,-27,-56,-80,12927
70,Persian,-27,-22,-8,-2,-31,-5,2267
71,Persian (Alolan Persian),-27,-32,-8,8,-31,-5,2867
72,Psyduck,-42,-40,-20,-2,-46,-65,10109
73,Golduck,-12,-10,10,28,-16,-35,2609
74,Mankey,-52,-12,-33,-32,-51,-50,10062
75,Primeape,-27,13,-8,-7,-26,-25,2312
76,Growlithe,-37,-22,-23,3,-46,-60,8107
77,Growlithe (Hisuian Growlithe),-32,-17,-23,-2,-46,-65,8187
78,Arcanine,-2,18,12,33,-16,-25,2442
79,Arcanine (Hisuian Arcanine),3,23,12,28,-16,-30,2622
80,Poliwag,-52,-42,-28,-27,-56,-30,10017
81,Poliwhirl,-27,-27,-3,-17,-46,-30,4772
82,Poliwrath,-2,3,27,3,-6,-50,3287
83,Abra,-67,-72,-53,38,-41,-30,16507
84,Kadabra,-52,-57,-38,53,-26,-15,11107
85,Alakazam,-37,-42,-23,68,-1,0,8287
86,Alakazam (Mega Alakazam),-37,-42,-3,108,9,30,15787
87,Machop,-22,-12,-18,-32,-61,-85,12922
88,Machoke,-12,8,2,-17,-36,-75,7422
89,Machamp,-2,38,12,-2,-11,-65,5942
90,Bellsprout,-42,-17,-33,3,-66,-80,13907
91,Weepinbell,-27,-2,-18,18,-51,-65,8207
92,Victreebel,-12,13,-3,33,-26,-50,4587
93,Tentacool,-52,-52,-33,-17,4,-50,9302
94,Tentacruel,-12,-22,-3,13,24,-20,1782
95,Geodude,-52,-12,32,-37,-66,-100,19597
96,Geodude (Alolan Geodude),-52,-12,32,-37,-66,-100,19597
97,Graveler,-37,3,47,-22,-51,-85,13897
98,Graveler (Alolan Graveler),-37,3,47,-22,-51,-85,13897
99,Golem,-12,28,62,-12,-31,-75,11502
100,Golem (Alolan Golem),-12,28,62,-12,-31,-75,11502
101,Ponyta,-42,-7,-13,-2,-31,-30,3847
102,Ponyta (Galarian Ponyta),-42,-7,-13,-2,-31,-30,3847
103,Rapidash,-27,8,2,13,-16,-15,1447
104,Rapidash (Galarian Rapidash),-27,8,2,13,-16,-15,1447
105,Slowpoke,-2,-27,-3,-27,-56,-105,15632
106,Slowpoke (Galarian Slowpoke),-2,-27,-3,-27,-56,-105,15632
107,Slowbro,3,-17,42,33,-16,-90,11507
108,Slowbro (Mega Slowbro),3,-17,112,63,-16,-90,25167
109,Slowbro (Galarian Slowbro),3,8,27,33,-26,-90,10667
110,Magnemite,-67,-57,2,28,-41,-75,15832
111,Magneton,-42,-32,27,53,-26,-50,9502
112,Farfetch'd,-40,-2,-13,-9,-34,-60,6610
113,Farfetch'd (Galarian Farfetch'd),-40,3,-13,-9,-34,-65,7240
114,Doduo,-57,-7,-23,-32,-61,-45,10597
115,Dodrio,-32,18,2,-7,-36,-10,2797
116,Seel,-27,-47,-13,-22,-26,-75,9892
117,Dewgong,-2,-22,12,3,-1,-50,3142
118,Grimer,-12,-12,-18,-27,-46,-95,12482
119,Grimer (Alolan Grimer),-12,-12,-18,-27,-46,-95,12482
120,Muk,13,13,7,-2,4,-70,5307
121,Muk (Alolan Muk),13,13,7,-2,4,-70,5307
122,Shellder,-62,-27,32,-22,-71,-80,17522
123,Cloyster,-42,3,112,18,-51,-50,19742
124,Gastly,-62,-57,-38,33,-61,-40,14947
125,Haunter,-47,-42,-23,48,-41,-25,9112
126,Gengar,-32,-27,-8,63,-21,-10,6327
127,Gengar (Mega Gengar),-32,-27,12,103,-1,10,12607
128,Onix,-57,-47,92,-37,-51,-50,20392
129,Drowzee,-32,-44,-23,-24,-6,-78,10185
130,Hypno,-7,-19,2,6,19,-53,3620
131,Krabby,-62,13,22,-42,-71,-70,16202
132,Kingler,-37,38,47,-17,-46,-45,9452
133,Voltorb,-52,-62,-18,-12,-41,-20,9097
134,Voltorb (Hisuian Voltorb),-52,-62,-18,-12,-41,-20,9097
135,Electrode,-32,-42,2,13,-16,30,4117
136,Electrode (Hisuian Electrode),-32,-42,2,13,-16,30,4117
137,Exeggcute,-32,-52,12,-7,-51,-80,12922
138,Exeggutor,3,3,17,58,-21,-65,8337
139,Exeggutor (Alolan Exeggutor),3,13,17,58,-21,-75,9897
140,Cubone,-42,-42,27,-27,-46,-85,14327
141,Marowak,-32,-12,42,-17,-16,-75,9102
142,Marowak (Alolan Marowak),-32,-12,42,-17,-16,-75,9102
143,Hitmonlee,-42,28,-15,-32,14,-33,5082
144,Hitmonchan,-42,13,11,-32,14,-44,5210
145,Lickitung,-2,-37,7,-7,-21,-90,10012
146,Koffing,-52,-27,27,-7,-51,-85,14037
147,Weezing,-27,-2,52,18,-26,-60,8037
148,Weezing (Galarian Weezing),-27,-2,52,18,-26,-60,8037
149,Rhyhorn,-12,-7,27,-37,-66,-95,15672
150,Rhydon,13,38,52,-22,-51,-80,13802
151,Chansey,158,-87,-63,-32,9,-70,42507
152,Tangela,-27,-37,47,33,-56,-60,12132
153,Kangaskhan,13,3,12,-27,-16,-30,2207
154,Kangaskhan (Mega Kangaskhan),13,33,32,-7,4,-20,2747
155,Horsea,-62,-52,2,3,-71,-60,15202
156,Seadra,-37,-27,27,28,-51,-35,7437
157,Goldeen,-47,-25,-8,-32,-46,-57,9287
158,Seaking,-12,0,-3,-2,-16,-52,3117
159,Staryu,-62,-47,-13,3,-41,-35,9137
160,Starmie,-32,-17,17,33,-11,-5,2837
161,Mr. Mime,-52,-47,-3,33,24,-30,7487
162,Mr. Mime (Galarian Mr. Mime),-42,-27,-3,23,-6,-20,3467
163,Scyther,-22,18,12,-12,-16,-15,1577
164,Jynx,-27,-42,-33,48,-1,-25,6512
165,Electabuzz,-27,-9,-11,28,-11,-15,2061
166,Magmar,-27,3,-11,33,-11,-27,2798
167,Pinsir,-27,33,32,-12,-26,-35,4887
168,Pinsir (Mega Pinsir),-27,63,52,-2,-6,-15,7667
169,Tauros,-17,8,27,-27,-26,-10,2587
170,Tauros (Paldean Tauros (Combat Breed)),-17,18,37,-37,-26,-20,4427
171,Tauros (Paldean Tauros (Blaze Breed)),-17,18,37,-37,-26,-20,4427
172,Tauros (Paldean Tauros (Aqua Breed)),-17,18,37,-37,-26,-20,4427
173,Magikarp,-72,-82,-13,-52,-76,-40,22157
174,Gyarados,3,33,11,-7,4,-39,2805
175,Gyarados (Mega Gyarados),3,63,41,3,34,-39,8345
176,Lapras,38,-7,12,18,-1,-60,5562
177,Ditto,-44,-44,-20,-19,-48,-72,12121
178,Eevee,-37,-37,-18,-22,-31,-65,8732
179,Eevee (Partner Eevee),-27,-17,2,-2,-11,-45,3172
180,Vaporeon,38,-27,-8,43,-1,-55,7112
181,Jolteon,-27,-27,-8,43,-1,10,3472
182,Flareon,-27,38,-8,28,14,-55,6242
183,Porygon,-27,-32,2,18,-21,-80,8922
184,Omanyte,-57,-52,32,23,-41,-85,16412
185,Omastar,-22,-32,57,48,-26,-65,11962
