Paul Bartenfeld vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-45,-35,-11,-1,-12,-72,8700
1,Ivysaur,-30,-22,3,14,3,-57,4847
2,Venusaur,-10,-2,23,34,23,-37,3687
3,Venusaur (Mega Venusaur),-10,16,63,56,43,-37,10679
4,Charmander,-51,-32,-17,-6,-27,-52,7383
5,Charmeleon,-32,-20,-2,14,-12,-37,3137
6,Charizard,-12,0,18,43,8,-17,2670
7,Charizard (Mega Charizard X),-12,46,51,64,8,-17,9310
8,Charizard (Mega Charizard Y),-12,20,18,93,38,-17,11250
9,Squirtle,-46,-36,5,-16,-13,-74,9338
10,Wartortle,-31,-21,20,-1,3,-59,5293
11,Blastoise,-11,-1,40,19,28,-39,4388
12,Blastoise (Mega Blastoise),-11,19,60,69,38,-39,11808
13,Caterpie,-45,-54,-25,-46,-57,-72,16115
14,Metapod,-40,-64,-5,-41,-52,-87,17675
15,Butterfree,-30,-39,-10,24,3,-47,5315
16,Weedle,-50,-49,-30,-46,-57,-67,15655
17,Kakuna,-45,-59,-10,-41,-52,-82,16715
18,Beedrill,-25,6,-20,-21,3,-42,3275
19,Beedrill (Mega Beedrill),-25,66,-20,-51,3,28,8775
20,Pidgey,-50,-39,-20,-31,-42,-61,10867
21,Pidgeotto,-27,-24,-5,-16,-27,-46,4431
22,Pidgeot,-7,-4,15,4,-7,-16,611
23,Pidgeot (Mega Pidgeot),-7,-4,20,69,3,4,5251
24,Rattata,-60,-28,-25,-41,-42,-45,10479
25,Rattata (Alolan Rattata),-60,-28,-25,-41,-42,-45,10479
26,Raticate,-35,-3,0,-16,-7,-20,1939
27,Raticate (Alolan Raticate),-15,-13,10,-26,3,-40,2779
28,Spearow,-50,-24,-30,-35,-46,-47,9526
29,Fearow,-25,6,5,-5,-16,-17,1256
30,Ekans,-55,-24,-16,-26,-23,-62,8906
31,Arbok,-30,11,9,-1,2,-37,2476
32,Pikachu,-55,-29,-20,-16,-27,-27,5980
33,Pikachu (Partner Pikachu),-45,-4,-10,9,-17,3,2520
34,Raichu,-30,6,-5,24,3,-7,1595
35,Raichu (Alolan Raichu),-30,1,-10,29,8,-7,1955
36,Sandshrew,-40,-9,25,-46,-47,-77,12560
37,Sandshrew (Alolan Sandshrew),-40,-9,30,-56,-42,-77,13410
38,Sandslash,-15,16,50,-21,-22,-52,6610
39,Sandslash (Alolan Sandslash),-15,16,60,-41,-12,-52,8610
40,Nidoran♀,-35,-37,-8,-26,-37,-76,10479
41,Nidorina,-20,-22,7,-11,-22,-61,5259
42,Nidoqueen,0,8,27,9,8,-41,2619
43,Nidoran♂,-44,-27,-20,-26,-37,-67,9599
44,Nidorino,-29,-12,-3,-11,-22,-52,4303
45,Nidoking,-9,18,17,19,-2,-32,2083
46,Clefairy,-20,-39,-12,-6,-12,-82,8969
47,Clefable,5,-14,13,29,13,-57,4649
48,Vulpix,-52,-43,-20,-16,-12,-52,8057
49,Vulpix (Alolan Vulpix),-52,-43,-20,-16,-12,-52,8057
50,Ninetales,-17,-8,15,15,23,-17,1621
51,Ninetales (Alolan Ninetales),-17,-17,15,15,23,-8,1621
52,Jigglypuff,25,-39,-40,-21,-52,-97,16300
53,Wigglytuff,50,-14,-15,19,-27,-72,9195
54,Zubat,-50,-39,-25,-36,-37,-62,11155
55,Golbat,-15,-4,10,-1,-2,-27,1075
56,Oddish,-45,-34,-5,9,-12,-87,11000
57,Gloom,-30,-19,10,19,-2,-77,7655
58,Vileplume,-15,-4,25,44,13,-67,7460
59,Paras,-55,-14,-5,-21,-22,-92,12635
60,Parasect,-30,11,20,-6,3,-87,9035
61,Venonat,-30,-29,-10,-26,-22,-72,8185
62,Venomoth,-20,-19,0,24,-2,-27,2070
63,Diglett,-80,-29,-35,-31,-32,-22,10935
64,Diglett (Alolan Diglett),-80,-29,-30,-31,-32,-27,10855
65,Dugtrio,-55,16,-10,-16,-7,3,3695
66,Dugtrio (Alolan Dugtrio),-55,16,0,-16,-7,-7,3635
67,Meowth,-50,-39,-25,-26,-37,-27,7420
68,Meowth (Alolan Meowth),-50,-49,-25,-16,-37,-27,7880
69,Meowth (Galarian Meowth),-40,-19,-5,-26,-37,-77,9960
70,Persian,-25,-14,0,-1,-12,-2,970
71,Persian (Alolan Persian),-25,-24,0,9,-12,-2,1430
72,Psyduck,-40,-32,-12,-1,-27,-62,7342
73,Golduck,-10,-2,18,29,3,-32,2302
74,Mankey,-50,-4,-25,-31,-32,-47,7335
75,Primeape,-25,21,0,-6,-7,-22,1635
76,Growlithe,-35,-14,-15,4,-27,-57,5640
77,Growlithe (Hisuian Growlithe),-30,-9,-15,-1,-27,-62,5780
78,Arcanine,0,26,20,34,3,-22,2725
