Piper Parker vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-28,-56,-11,2,-34,-40,6801
1,Ivysaur,-13,-43,3,17,-19,-25,3302
2,Venusaur,7,-23,23,37,1,-5,2502
3,Venusaur (Mega Venusaur),7,-5,63,59,21,-5,7990
4,Charmander,-34,-53,-17,-3,-49,-20,7064
5,Charmeleon,-15,-41,-2,17,-34,-5,3380
6,Charizard,5,-21,18,46,-14,15,3327
7,Charizard (Mega Charizard X),5,25,51,67,-14,15,8161
8,Charizard (Mega Charizard Y),5,-1,18,96,16,15,10047
9,Squirtle,-29,-57,5,-13,-35,-42,7273
10,Wartortle,-14,-42,20,2,-19,-27,3454
11,Blastoise,6,-22,40,22,6,-7,2689
12,Blastoise (Mega Blastoise),6,-2,60,72,16,-7,9129
13,Caterpie,-28,-75,-25,-43,-79,-40,16724
14,Metapod,-23,-85,-5,-38,-74,-55,17724
15,Butterfree,-13,-60,-10,27,-19,-15,5184
16,Weedle,-33,-70,-30,-43,-79,-35,16204
17,Kakuna,-28,-80,-10,-38,-74,-50,16704
18,Beedrill,-8,-15,-20,-18,-19,-10,1474
19,Beedrill (Mega Beedrill),-8,45,-20,-48,-19,60,8754
20,Pidgey,-33,-60,-20,-28,-64,-29,10810
21,Pidgeotto,-10,-45,-5,-13,-49,-14,4916
22,Pidgeot,10,-25,15,7,-29,16,2096
23,Pidgeot (Mega Pidgeot),10,-25,20,72,-19,36,7966
24,Rattata,-43,-49,-25,-38,-64,-13,10584
25,Rattata (Alolan Rattata),-43,-49,-25,-38,-64,-13,10584
26,Raticate,-18,-24,0,-13,-29,12,2054
27,Raticate (Alolan Raticate),2,-34,10,-23,-19,-8,2214
28,Spearow,-33,-45,-30,-32,-68,-15,9887
29,Fearow,-8,-15,5,-2,-38,15,1987
30,Ekans,-38,-45,-16,-23,-45,-30,7179
31,Arbok,-13,-10,9,2,-20,-5,779
32,Pikachu,-38,-50,-20,-13,-49,5,6939
33,Pikachu (Partner Pikachu),-28,-25,-10,12,-39,35,4399
34,Raichu,-13,-15,-5,27,-19,25,2134
35,Raichu (Alolan Raichu),-13,-20,-10,32,-14,25,2514
36,Sandshrew,-23,-30,25,-43,-69,-45,10689
37,Sandshrew (Alolan Sandshrew),-23,-30,30,-53,-64,-45,11259
38,Sandslash,2,-5,50,-18,-44,-20,5189
39,Sandslash (Alolan Sandslash),2,-5,60,-38,-34,-20,6629
40,Nidoran♀,-18,-58,-8,-23,-59,-44,9698
41,Nidorina,-3,-43,7,-8,-44,-29,4748
42,Nidoqueen,17,-13,27,12,-14,-9,1608
43,Nidoran♂,-27,-48,-20,-23,-59,-35,8668
44,Nidorino,-12,-33,-3,-8,-44,-20,3642
45,Nidoking,8,-3,17,22,-24,0,1422
46,Clefairy,-3,-60,-12,-3,-34,-50,7418
47,Clefable,22,-35,13,32,-9,-25,3608
48,Vulpix,-35,-64,-20,-13,-34,-20,7446
49,Vulpix (Alolan Vulpix),-35,-64,-20,-13,-34,-20,7446
50,Ninetales,0,-29,15,18,1,15,1616
51,Ninetales (Alolan Ninetales),0,-38,15,18,1,24,2570
52,Jigglypuff,42,-60,-40,-18,-74,-65,16989
53,Wigglytuff,67,-35,-15,22,-49,-40,10424
54,Zubat,-33,-60,-25,-33,-59,-30,10784
55,Golbat,2,-25,10,2,-24,5,1334
56,Oddish,-28,-55,-5,12,-34,-55,8159
57,Gloom,-13,-40,10,22,-24,-45,4954
58,Vileplume,2,-25,25,47,-9,-35,4769
59,Paras,-38,-35,-5,-18,-44,-60,8554
60,Parasect,-13,-10,20,-3,-19,-55,4064
61,Venonat,-13,-50,-10,-23,-44,-40,6834
62,Venomoth,-3,-40,0,27,-24,5,2939
63,Diglett,-63,-50,-35,-28,-54,10,11494
64,Diglett (Alolan Diglett),-63,-50,-30,-28,-54,5,11094
65,Dugtrio,-38,-5,-10,-13,-29,35,3804
66,Dugtrio (Alolan Dugtrio),-38,-5,0,-13,-29,25,3104
67,Meowth,-33,-60,-25,-23,-59,5,9349
68,Meowth (Alolan Meowth),-33,-70,-25,-13,-59,5,10289
69,Meowth (Galarian Meowth),-23,-40,-5,-23,-59,-45,8189
70,Persian,-8,-35,0,2,-34,30,3349
71,Persian (Alolan Persian),-8,-45,0,12,-34,30,4289
