Rasmi Tangirala vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-39,-48,-48,3,-14,-56,9470
1,Ivysaur,-24,-35,-34,18,1,-41,4963
2,Venusaur,-4,-15,-14,38,21,-21,2763
3,Venusaur (Mega Venusaur),-4,3,26,60,41,-21,6423
4,Charmander,-45,-45,-54,-2,-29,-36,9107
5,Charmeleon,-26,-33,-39,18,-14,-21,4247
6,Charizard,-6,-13,-19,47,6,-1,2812
7,Charizard (Mega Charizard X),-6,33,14,68,6,-1,5982
8,Charizard (Mega Charizard Y),-6,7,-19,97,36,-1,11152
9,Squirtle,-40,-49,-32,-12,-15,-58,8758
10,Wartortle,-25,-34,-17,3,1,-43,3929
11,Blastoise,-5,-14,3,23,26,-23,1964
12,Blastoise (Mega Blastoise),-5,6,23,73,36,-23,7744
13,Caterpie,-39,-67,-62,-42,-59,-56,18235
14,Metapod,-34,-77,-42,-37,-54,-71,18175
15,Butterfree,-24,-52,-47,28,1,-31,7235
16,Weedle,-44,-62,-67,-42,-59,-51,18115
17,Kakuna,-39,-72,-47,-37,-54,-66,17555
18,Beedrill,-19,-7,-57,-17,1,-26,4625
19,Beedrill (Mega Beedrill),-19,53,-57,-47,1,44,10565
20,Pidgey,-44,-52,-57,-27,-44,-45,12579
21,Pidgeotto,-21,-37,-42,-12,-29,-30,5459
22,Pidgeot,-1,-17,-22,8,-9,0,919
23,Pidgeot (Mega Pidgeot),-1,-17,-17,73,1,20,6309
24,Rattata,-54,-41,-62,-37,-44,-29,12587
25,Rattata (Alolan Rattata),-54,-41,-62,-37,-44,-29,12587
26,Raticate,-29,-16,-37,-12,-9,-4,2707
27,Raticate (Alolan Raticate),-9,-26,-27,-22,1,-24,2547
28,Spearow,-44,-37,-67,-31,-48,-31,12020
29,Fearow,-19,-7,-32,-1,-18,-1,1760
30,Ekans,-49,-37,-53,-22,-25,-46,9804
