Reagan Fryatt vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-40,-54,-60,-20,-33,-66,13961
1,Ivysaur,-25,-41,-46,-5,-18,-51,7372
2,Venusaur,-5,-21,-26,15,2,-31,2332
3,Venusaur (Mega Venusaur),-5,-3,14,37,22,-31,3044
4,Charmander,-46,-51,-66,-25,-48,-46,14118
5,Charmeleon,-27,-39,-51,-5,-33,-31,6926
6,Charizard,-7,-19,-31,24,-13,-11,2237
7,Charizard (Mega Charizard X),-7,27,2,45,-13,-11,3097
8,Charizard (Mega Charizard Y),-7,1,-31,74,17,-11,6897
9,Squirtle,-41,-55,-44,-35,-34,-68,13647
10,Wartortle,-26,-40,-29,-20,-18,-53,6650
11,Blastoise,-6,-20,-9,0,7,-33,1655
12,Blastoise (Mega Blastoise),-6,0,11,50,17,-33,4035
13,Caterpie,-40,-73,-74,-65,-78,-66,27070
14,Metapod,-35,-83,-54,-60,-73,-81,26520
15,Butterfree,-25,-58,-59,5,-18,-41,9500
16,Weedle,-45,-68,-79,-65,-78,-61,26920
17,Kakuna,-40,-78,-59,-60,-73,-76,25870
18,Beedrill,-20,-13,-69,-40,-18,-36,8550
19,Beedrill (Mega Beedrill),-20,47,-69,-70,-18,34,13750
20,Pidgey,-45,-58,-69,-50,-63,-55,19644
21,Pidgeotto,-22,-43,-54,-35,-48,-40,10378
22,Pidgeot,-2,-23,-34,-15,-28,-10,2798
23,Pidgeot (Mega Pidgeot),-2,-23,-29,50,-18,10,4298
24,Rattata,-55,-47,-74,-60,-63,-39,19800
25,Rattata (Alolan Rattata),-55,-47,-74,-60,-63,-39,19800
26,Raticate,-30,-22,-49,-35,-28,-14,5990
27,Raticate (Alolan Raticate),-10,-32,-39,-45,-18,-34,6150
28,Spearow,-45,-43,-79,-54,-67,-41,19201
29,Fearow,-20,-13,-44,-24,-37,-11,4571
30,Ekans,-50,-43,-65,-45,-44,-56,15671
31,Arbok,-25,-8,-40,-20,-19,-31,4011
32,Pikachu,-50,-48,-69,-35,-48,-21,13535
33,Pikachu (Partner Pikachu),-40,-23,-59,-10,-38,9,7235
34,Raichu,-25,-13,-54,5,-18,-1,4060
35,Raichu (Alolan Raichu),-25,-18,-59,10,-13,-1,4700
36,Sandshrew,-35,-28,-24,-65,-68,-71,16475
37,Sandshrew (Alolan Sandshrew),-35,-28,-19,-75,-63,-71,17005
38,Sandslash,-10,-3,1,-40,-43,-46,5675
39,Sandslash (Alolan Sandslash),-10,-3,11,-60,-33,-46,7035
40,Nidoran♀,-30,-56,-57,-45,-58,-70,17574
41,Nidorina,-15,-41,-42,-30,-43,-55,9444
42,Nidoqueen,5,-11,-22,-10,-13,-35,2124
43,Nidoran♂,-39,-46,-69,-45,-58,-61,17508
44,Nidorino,-24,-31,-52,-30,-43,-46,9106
45,Nidoking,-4,-1,-32,0,-23,-26,2246
46,Clefairy,-15,-58,-61,-25,-33,-76,14800
47,Clefable,10,-33,-36,10,-8,-51,5250
48,Vulpix,-47,-62,-69,-35,-33,-46,15244
49,Vulpix (Alolan Vulpix),-47,-62,-69,-35,-33,-46,15244
50,Ninetales,-12,-27,-34,-4,2,-11,2170
51,Ninetales (Alolan Ninetales),-12,-36,-34,-4,2,-2,2620
52,Jigglypuff,30,-58,-89,-40,-73,-91,27395
53,Wigglytuff,55,-33,-64,0,-48,-66,14870
54,Zubat,-45,-58,-74,-55,-58,-56,20390
55,Golbat,-10,-23,-39,-20,-23,-21,3520
56,Oddish,-40,-53,-54,-10,-33,-81,15075
57,Gloom,-25,-38,-39,0,-23,-71,9160
58,Vileplume,-10,-23,-24,25,-8,-61,5615
59,Paras,-50,-33,-54,-40,-43,-86,17350
60,Parasect,-25,-8,-29,-25,-18,-81,9040
61,Venonat,-25,-48,-59,-45,-43,-66,14640
62,Venomoth,-15,-38,-49,5,-23,-21,5065
63,Diglett,-75,-48,-84,-50,-53,-16,20550
64,Diglett (Alolan Diglett),-75,-48,-79,-50,-53,-21,19920
65,Dugtrio,-50,-3,-59,-35,-28,9,8080
66,Dugtrio (Alolan Dugtrio),-50,-3,-49,-35,-28,-1,6920
67,Meowth,-45,-58,-74,-45,-58,-21,16695
68,Meowth (Alolan Meowth),-45,-68,-74,-35,-58,-21,17155
69,Meowth (Galarian Meowth),-35,-38,-54,-45,-58,-71,16015
70,Persian,-20,-33,-49,-20,-33,4,5395
71,Persian (Alolan Persian),-20,-43,-49,-10,-33,4,5855
72,Psyduck,-35,-51,-61,-20,-48,-56,13387
73,Golduck,-5,-21,-31,10,-18,-26,2527
74,Mankey,-45,-23,-74,-50,-53,-41,15020
75,Primeape,-20,2,-49,-25,-28,-16,4470
76,Growlithe,-30,-33,-64,-15,-48,-51,11215
77,Growlithe (Hisuian Growlithe),-25,-28,-64,-20,-48,-56,11345
78,Arcanine,5,7,-29,15,-18,-16,1720
79,Arcanine (Hisuian Arcanine),10,12,-29,10,-18,-21,1950
80,Poliwag,-45,-53,-69,-45,-58,-21,15425
81,Poliwhirl,-20,-38,-44,-35,-48,-21,7750
82,Poliwrath,5,-8,-14,-15,-8,-41,2255
83,Abra,-60,-83,-94,20,-43,-21,22015
84,Kadabra,-45,-68,-79,35,-28,-6,14935
85,Alakazam,-30,-53,-64,50,-3,9,10395
86,Alakazam (Mega Alakazam),-30,-53,-44,90,7,39,15315
87,Machop,-15,-23,-59,-50,-63,-76,16480
88,Machoke,-5,-3,-39,-35,-38,-66,8580
89,Machamp,5,27,-29,-20,-13,-56,5300
90,Bellsprout,-35,-28,-74,-15,-68,-71,17375
91,Weepinbell,-20,-13,-59,0,-53,-56,9995
92,Victreebel,-5,2,-44,15,-28,-41,4655
93,Tentacool,-45,-63,-74,-35,2,-41,14380
94,Tentacruel,-5,-33,-44,-5,22,-11,3680
95,Geodude,-45,-23,-9,-55,-68,-91,18565
96,Geodude (Alolan Geodude),-45,-23,-9,-55,-68,-91,18565
97,Graveler,-30,-8,6,-40,-53,-76,11185
98,Graveler (Alolan Graveler),-30,-8,6,-40,-53,-76,11185
99,Golem,-5,17,21,-30,-33,-66,7100
100,Golem (Alolan Golem),-5,17,21,-30,-33,-66,7100
101,Ponyta,-35,-18,-54,-20,-33,-21,6395
102,Ponyta (Galarian Ponyta),-35,-18,-54,-20,-33,-21,6395
103,Rapidash,-20,-3,-39,-5,-18,-6,2315
104,Rapidash (Galarian Rapidash),-20,-3,-39,-5,-18,-6,2315
105,Slowpoke,5,-38,-44,-45,-58,-96,18010
