Ronan McKinney vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-36,-51,-11,3,-46,-54,9059
1,Ivysaur,-21,-38,3,18,-31,-39,4700
2,Venusaur,-1,-18,23,38,-11,-19,2780
3,Venusaur (Mega Venusaur),-1,0,63,60,9,-19,8012
4,Charmander,-42,-48,-17,-2,-61,-34,9238
5,Charmeleon,-23,-36,-2,18,-46,-19,4630
6,Charizard,-3,-16,18,47,-26,1,3475
7,Charizard (Mega Charizard X),-3,30,51,68,-26,1,8811
8,Charizard (Mega Charizard Y),-3,4,18,97,4,1,9775
9,Squirtle,-37,-52,5,-12,-47,-56,9587
10,Wartortle,-22,-37,20,3,-31,-41,4904
11,Blastoise,-2,-17,40,23,-6,-21,2899
12,Blastoise (Mega Blastoise),-2,3,60,73,4,-21,9399
13,Caterpie,-36,-70,-25,-42,-91,-54,19782
14,Metapod,-31,-80,-5,-37,-86,-69,20912
15,Butterfree,-21,-55,-10,28,-31,-29,6152
16,Weedle,-41,-65,-30,-42,-91,-49,19252
17,Kakuna,-36,-75,-10,-37,-86,-64,19882
18,Beedrill,-16,-10,-20,-17,-31,-24,2582
19,Beedrill (Mega Beedrill),-16,50,-20,-47,-31,46,8442
20,Pidgey,-41,-55,-20,-27,-76,-43,13460
21,Pidgeotto,-18,-40,-5,-12,-61,-28,6598
22,Pidgeot,2,-20,15,8,-41,2,2378
23,Pidgeot (Mega Pidgeot),2,-20,20,73,-31,22,7578
24,Rattata,-51,-44,-25,-37,-76,-27,13036
25,Rattata (Alolan Rattata),-51,-44,-25,-37,-76,-27,13036
26,Raticate,-26,-19,0,-12,-41,-2,2866
27,Raticate (Alolan Raticate),-6,-29,10,-22,-31,-22,2906
28,Spearow,-41,-40,-30,-31,-80,-29,12383
29,Fearow,-16,-10,5,-1,-50,1,2883
30,Ekans,-46,-40,-16,-22,-57,-44,9641
31,Arbok,-21,-5,9,3,-32,-19,1941
32,Pikachu,-46,-45,-20,-12,-61,-9,8487
33,Pikachu (Partner Pikachu),-36,-20,-10,13,-51,21,5007
34,Raichu,-21,-10,-5,28,-31,11,2432
35,Raichu (Alolan Raichu),-21,-15,-10,33,-26,11,2652
36,Sandshrew,-31,-25,25,-42,-81,-59,14017
37,Sandshrew (Alolan Sandshrew),-31,-25,30,-52,-76,-59,14447
38,Sandslash,-6,0,50,-17,-56,-34,7117
39,Sandslash (Alolan Sandslash),-6,0,60,-37,-46,-34,8277
40,Nidoran♀,-26,-53,-8,-22,-71,-58,12438
41,Nidorina,-11,-38,7,-7,-56,-43,6648
42,Nidoqueen,9,-8,27,13,-26,-23,2248
43,Nidoran♂,-35,-43,-20,-22,-71,-49,11400
44,Nidorino,-20,-28,-3,-7,-56,-34,5534
45,Nidoking,0,2,17,23,-36,-14,2314
46,Clefairy,-11,-55,-12,-2,-46,-64,9506
47,Clefable,14,-30,13,33,-21,-39,4316
48,Vulpix,-43,-59,-20,-12,-46,-34,9146
49,Vulpix (Alolan Vulpix),-43,-59,-20,-12,-46,-34,9146
50,Ninetales,-8,-24,15,19,-11,1,1348
51,Ninetales (Alolan Ninetales),-8,-33,15,19,-11,10,1960
52,Jigglypuff,34,-55,-40,-17,-86,-79,19707
53,Wigglytuff,59,-30,-15,23,-61,-54,11772
54,Zubat,-41,-55,-25,-32,-71,-44,13332
55,Golbat,-6,-20,10,3,-36,-9,1922
56,Oddish,-36,-50,-5,13,-46,-69,10867
57,Gloom,-21,-35,10,23,-36,-59,7072
58,Vileplume,-6,-20,25,48,-21,-49,6207
59,Paras,-46,-30,-5,-17,-56,-74,11942
60,Parasect,-21,-5,20,-2,-31,-69,6592
61,Venonat,-21,-45,-10,-22,-56,-54,9102
62,Venomoth,-11,-35,0,28,-36,-9,3507
63,Diglett,-71,-45,-35,-27,-66,-4,13392
64,Diglett (Alolan Diglett),-71,-45,-30,-27,-66,-9,13132
65,Dugtrio,-46,0,-10,-12,-41,21,4482
66,Dugtrio (Alolan Dugtrio),-46,0,0,-12,-41,11,4062
67,Meowth,-41,-55,-25,-22,-71,-9,10937
68,Meowth (Alolan Meowth),-41,-65,-25,-12,-71,-9,11797
69,Meowth (Galarian Meowth),-31,-35,-5,-22,-71,-59,11217
70,Persian,-16,-30,0,3,-46,16,3537
71,Persian (Alolan Persian),-16,-40,0,13,-46,16,4397
72,Psyduck,-31,-48,-12,3,-61,-44,9075
73,Golduck,-1,-18,18,33,-31,-14,2895
74,Mankey,-41,-20,-25,-27,-66,-29,8632
75,Primeape,-16,5,0,-2,-41,-4,1982
76,Growlithe,-26,-30,-15,8,-61,-39,7107
77,Growlithe (Hisuian Growlithe),-21,-25,-15,3,-61,-44,6957
78,Arcanine,9,10,20,38,-31,-4,3002
79,Arcanine (Hisuian Arcanine),14,15,20,33,-31,-9,2952
80,Poliwag,-41,-50,-20,-22,-71,-9,10187
81,Poliwhirl,-16,-35,5,-12,-61,-9,5452
82,Poliwrath,9,-5,35,8,-21,-29,2677
83,Abra,-56,-80,-45,43,-56,-9,16627
84,Kadabra,-41,-65,-30,58,-41,6,11887
85,Alakazam,-26,-50,-15,73,-16,21,9427
86,Alakazam (Mega Alakazam),-26,-50,5,113,-6,51,18607
87,Machop,-11,-20,-10,-27,-76,-64,11222
88,Machoke,-1,0,10,-12,-51,-54,5762
89,Machamp,9,30,20,3,-26,-44,4002
90,Bellsprout,-31,-25,-25,8,-81,-59,12317
91,Weepinbell,-16,-10,-10,23,-66,-44,7277
92,Victreebel,-1,5,5,38,-41,-29,4017
93,Tentacool,-41,-60,-25,-12,-11,-29,7012
94,Tentacruel,-1,-30,5,18,9,1,1332
95,Geodude,-41,-20,40,-32,-81,-79,17507
96,Geodude (Alolan Geodude),-41,-20,40,-32,-81,-79,17507
