Sam Tellis vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-16,-11,-11,5,-9,-49,3005
1,Ivysaur,-1,2,3,20,6,-34,1606
2,Venusaur,19,22,23,40,26,-14,3846
3,Venusaur (Mega Venusaur),19,40,63,62,46,-14,12086
4,Charmander,-22,-8,-17,0,-24,-29,2254
5,Charmeleon,-3,4,-2,20,-9,-14,706
6,Charizard,17,24,18,49,11,6,3747
7,Charizard (Mega Charizard X),17,70,51,70,11,6,12847
8,Charizard (Mega Charizard Y),17,44,18,99,41,6,14067
9,Squirtle,-17,-12,5,-10,-10,-51,3259
10,Wartortle,-2,3,20,5,6,-36,1770
11,Blastoise,18,23,40,25,31,-16,4295
12,Blastoise (Mega Blastoise),18,43,60,75,41,-16,13335
13,Caterpie,-16,-30,-25,-40,-54,-49,8698
14,Metapod,-11,-40,-5,-35,-49,-64,9468
15,Butterfree,-1,-15,-10,30,6,-24,1838
16,Weedle,-21,-25,-30,-40,-54,-44,8418
17,Kakuna,-16,-35,-10,-35,-49,-59,8688
18,Beedrill,4,30,-20,-15,6,-19,1938
19,Beedrill (Mega Beedrill),4,90,-20,-45,6,51,13178
20,Pidgey,-21,-15,-20,-25,-39,-38,4656
21,Pidgeotto,2,0,-5,-10,-24,-23,1234
22,Pidgeot,22,20,15,10,-4,7,1274
23,Pidgeot (Mega Pidgeot),22,20,20,75,6,27,7674
24,Rattata,-31,-4,-25,-35,-39,-22,4832
25,Rattata (Alolan Rattata),-31,-4,-25,-35,-39,-22,4832
26,Raticate,-6,21,0,-10,-4,3,602
27,Raticate (Alolan Raticate),14,11,10,-20,6,-17,1142
28,Spearow,-21,0,-30,-29,-43,-24,4607
29,Fearow,4,30,5,1,-13,6,1147
30,Ekans,-26,0,-16,-20,-20,-39,3253
31,Arbok,-1,35,9,5,5,-14,1553
32,Pikachu,-26,-5,-20,-10,-24,-4,1793
33,Pikachu (Partner Pikachu),-16,20,-10,15,-14,26,1853
34,Raichu,-1,30,-5,30,6,16,2118
35,Raichu (Alolan Raichu),-1,25,-10,35,11,16,2328
36,Sandshrew,-11,15,25,-40,-44,-54,7423
37,Sandshrew (Alolan Sandshrew),-11,15,30,-50,-39,-54,8183
38,Sandslash,14,40,50,-15,-19,-29,5723
39,Sandslash (Alolan Sandslash),14,40,60,-35,-9,-29,7543
40,Nidoran♀,-6,-13,-8,-20,-34,-53,4634
41,Nidorina,9,2,7,-5,-19,-38,1964
42,Nidoqueen,29,32,27,15,11,-18,3264
43,Nidoran♂,-15,-3,-20,-20,-34,-44,4126
44,Nidorino,0,12,-3,-5,-19,-29,1380
45,Nidoking,20,42,17,25,1,-9,3160
46,Clefairy,9,-15,-12,0,-9,-59,4012
47,Clefable,34,10,13,35,16,-34,4062
48,Vulpix,-23,-19,-20,-10,-9,-29,2312
49,Vulpix (Alolan Vulpix),-23,-19,-20,-10,-9,-29,2312
50,Ninetales,12,16,15,21,26,6,1778
51,Ninetales (Alolan Ninetales),12,7,15,21,26,15,1760
52,Jigglypuff,54,-15,-40,-15,-49,-74,12843
53,Wigglytuff,79,10,-15,25,-24,-49,10168
54,Zubat,-21,-15,-25,-30,-34,-39,4868
55,Golbat,14,20,10,5,1,-4,738
56,Oddish,-16,-10,-5,15,-9,-64,4783
57,Gloom,-1,5,10,25,1,-54,3668
58,Vileplume,14,20,25,50,16,-44,5913
59,Paras,-26,10,-5,-15,-19,-69,6148
60,Parasect,-1,35,20,0,6,-64,5758
61,Venonat,-1,-5,-10,-20,-19,-49,3288
62,Venomoth,9,5,0,30,1,-4,1023
63,Diglett,-51,-5,-35,-25,-29,1,5318
64,Diglett (Alolan Diglett),-51,-5,-30,-25,-29,-4,5008
65,Dugtrio,-26,40,-10,-10,-4,26,3168
