Will Simpson vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-43,-61,-57,-40,-40,-54,14935
1,Ivysaur,-28,-48,-43,-25,-25,-39,7708
2,Venusaur,-8,-28,-23,-5,-5,-19,1788
3,Venusaur (Mega Venusaur),-8,-10,17,17,15,-19,1328
4,Charmander,-49,-58,-63,-45,-55,-34,15940
5,Charmeleon,-30,-46,-48,-25,-40,-19,7906
6,Charizard,-10,-26,-28,4,-20,1,1977
7,Charizard (Mega Charizard X),-10,20,5,25,-20,1,1551
8,Charizard (Mega Charizard Y),-10,-6,-28,54,10,1,3937
9,Squirtle,-44,-62,-41,-55,-41,-56,15303
10,Wartortle,-29,-47,-26,-40,-25,-41,7632
11,Blastoise,-9,-27,-6,-20,0,-21,1687
12,Blastoise (Mega Blastoise),-9,-7,14,30,10,-21,1767
13,Caterpie,-43,-80,-71,-85,-85,-54,30656
14,Metapod,-38,-90,-51,-80,-80,-69,29706
15,Butterfree,-28,-65,-56,-15,-25,-29,9836
16,Weedle,-48,-75,-76,-85,-85,-49,30556
17,Kakuna,-43,-85,-56,-80,-80,-64,29106
18,Beedrill,-23,-20,-66,-60,-25,-24,10086
19,Beedrill (Mega Beedrill),-23,40,-66,-90,-25,46,17326
20,Pidgey,-48,-65,-66,-70,-70,-43,22534
21,Pidgeotto,-25,-50,-51,-55,-55,-28,12560
22,Pidgeot,-5,-30,-31,-35,-35,2,4340
23,Pidgeot (Mega Pidgeot),-5,-30,-26,30,-25,22,3610
24,Rattata,-58,-54,-71,-80,-70,-27,23350
25,Rattata (Alolan Rattata),-58,-54,-71,-80,-70,-27,23350
26,Raticate,-33,-29,-46,-55,-35,-2,8300
27,Raticate (Alolan Raticate),-13,-39,-36,-65,-25,-22,8320
28,Spearow,-48,-50,-76,-74,-74,-29,22373
29,Fearow,-23,-20,-41,-44,-44,1,6483
30,Ekans,-53,-50,-62,-65,-51,-44,17915
31,Arbok,-28,-15,-37,-40,-26,-19,5015
32,Pikachu,-53,-55,-66,-55,-55,-9,16321
33,Pikachu (Partner Pikachu),-43,-30,-56,-30,-45,21,9251
34,Raichu,-28,-20,-51,-15,-25,11,4756
35,Raichu (Alolan Raichu),-28,-25,-56,-10,-20,11,5166
36,Sandshrew,-38,-35,-21,-85,-75,-59,19441
37,Sandshrew (Alolan Sandshrew),-38,-35,-16,-95,-70,-59,20331
38,Sandslash,-13,-10,4,-60,-50,-34,7541
39,Sandslash (Alolan Sandslash),-13,-10,14,-80,-40,-34,9621
40,Nidoran♀,-33,-63,-54,-65,-65,-58,19788
41,Nidorina,-18,-48,-39,-50,-50,-43,10998
42,Nidoqueen,2,-18,-19,-30,-20,-23,2518
43,Nidoran♂,-42,-53,-66,-65,-65,-49,19780
44,Nidorino,-27,-38,-49,-50,-50,-34,10730
45,Nidoking,-7,-8,-29,-20,-30,-14,2450
46,Clefairy,-18,-65,-58,-45,-40,-64,15634
47,Clefable,7,-40,-33,-10,-15,-39,4584
48,Vulpix,-50,-69,-66,-55,-40,-34,17398
49,Vulpix (Alolan Vulpix),-50,-69,-66,-55,-40,-34,17398
50,Ninetales,-15,-34,-31,-24,-5,1,2944
51,Ninetales (Alolan Ninetales),-15,-43,-31,-24,-5,10,3736
52,Jigglypuff,27,-65,-86,-60,-80,-79,28591
53,Wigglytuff,52,-40,-61,-20,-55,-54,14366
54,Zubat,-48,-65,-71,-75,-65,-44,23356
55,Golbat,-13,-30,-36,-40,-30,-9,4946
56,Oddish,-43,-60,-51,-30,-40,-69,15311
57,Gloom,-28,-45,-36,-20,-30,-59,8886
58,Vileplume,-13,-30,-21,5,-15,-49,4161
59,Paras,-53,-40,-51,-60,-50,-74,18586
60,Parasect,-28,-15,-26,-45,-25,-69,9096
61,Venonat,-28,-55,-56,-65,-50,-54,16586
62,Venomoth,-18,-45,-46,-15,-30,-9,5671
63,Diglett,-78,-55,-81,-70,-60,-4,24186
64,Diglett (Alolan Diglett),-78,-55,-76,-70,-60,-9,23466
65,Dugtrio,-53,-10,-56,-55,-35,21,10736
66,Dugtrio (Alolan Dugtrio),-53,-10,-46,-55,-35,11,9396
67,Meowth,-48,-65,-71,-65,-65,-9,20101
68,Meowth (Alolan Meowth),-48,-75,-71,-55,-65,-9,20301
69,Meowth (Galarian Meowth),-38,-45,-51,-65,-65,-59,18001
70,Persian,-23,-40,-46,-40,-40,16,7701
71,Persian (Alolan Persian),-23,-50,-46,-30,-40,16,7901
72,Psyduck,-38,-58,-58,-40,-55,-44,14733
73,Golduck,-8,-28,-28,-10,-25,-14,2553
74,Mankey,-48,-30,-71,-70,-60,-29,17586
75,Primeape,-23,-5,-46,-45,-35,-4,5936
76,Growlithe,-33,-40,-61,-35,-55,-39,12181
77,Growlithe (Hisuian Growlithe),-28,-35,-61,-40,-55,-44,12291
78,Arcanine,2,0,-26,-5,-25,-4,1346
79,Arcanine (Hisuian Arcanine),7,5,-26,-10,-25,-9,1556
80,Poliwag,-48,-60,-66,-65,-65,-9,18791
81,Poliwhirl,-23,-45,-41,-55,-55,-9,10366
82,Poliwrath,2,-15,-11,-35,-15,-29,2641
83,Abra,-63,-90,-91,0,-50,-9,22931
84,Kadabra,-48,-75,-76,15,-35,6,15191
